PV Version: 1.3
Date: 2022-04-01 03:36:03 PM
Protein directory: acceptors-props/PDBs
Volume probe radius: 0.080A -> 0.020A
Surface probe minimum distance: 0.1A

Protein               Total Volume (A3)      Void Volume       VDW Volume  Packing Density  Time Taken (ms)
5793                            161.881           11.785          150.096            0.927  2303
5912039                         244.177           14.130          230.047            0.942  2460
5959                            267.573           18.502          249.071            0.931  2519
6047                            184.735           11.673          173.061            0.937  2235
6072                            404.631           38.047          366.584            0.906  2969
62389                           205.498            6.865          198.633            0.967  2591
6255462                         231.837            8.062          223.774            0.965  2488
6288                            116.910            7.190          109.720            0.938  1789
6293081                         277.063           10.412          266.651            0.962  2809
637540                          151.346            4.539          146.807            0.970  1858
637541                          152.480            5.287          147.192            0.965  2140
637542                          153.367            5.596          147.770            0.964  1674
637566                          185.784           11.694          174.091            0.937  2291
637775                          205.791            7.738          198.053            0.962  3072
6466                            321.767           25.589          296.178            0.920  2619
64685                           173.541           10.677          162.864            0.938  1941
64981                           363.888           24.551          339.337            0.933  3462
65090                           164.759            4.653          160.105            0.972  2349
65126                           342.027           25.867          316.160            0.924  2969
65243                           366.087           27.854          338.232            0.924  2807
6549                            187.320           12.747          174.574            0.932  2075
68073                           149.199            5.645          143.554            0.962  2113
68099                           131.106            4.016          127.090            0.969  2053
681                             153.544            8.103          145.442            0.947  1983
68146761                        244.462           12.390          232.072            0.949  2567
68213                           225.355           10.119          215.236            0.955  2340
68289                           119.577            3.286          116.290            0.973  1717
689043                          161.436            5.932          155.505            0.963  1654
689075                          179.735            6.620          173.115            0.963  2081
689111                          223.011            9.604          213.407            0.957  2119
69867                           143.799            4.600          139.199            0.968  1878
6989                            166.300            8.397          157.903            0.950  2400
7009598                         248.899           20.255          228.644            0.919  2623
7015695                         227.278           19.542          207.736            0.914  2677
7041                            147.774            5.009          142.766            0.966  1804
7043                            139.355            4.716          134.640            0.966  1994
70775                           152.563            7.700          144.863            0.950  1665
7172                            171.814            9.262          162.552            0.946  2303
72                              133.000            4.691          128.309            0.965  1898
72276                           254.674           11.659          243.015            0.954  2461
72303                           277.026           17.527          259.499            0.937  3078
7257                            127.371            4.530          122.841            0.964  2209
72936                           438.389           47.209          391.181            0.892  3261
73399                           335.360           19.440          315.920            0.942  2847
73412                           522.463           42.627          479.836            0.918  4012
73571                           258.955           12.431          246.525            0.952  2681
77093                           207.136            8.848          198.288            0.957  2438
780                             149.886            5.826          144.060            0.961  2278
79064                           371.396           38.123          333.273            0.897  3513
79964                           135.039            5.129          129.910            0.962  2002
802                             164.406            7.999          156.406            0.951  2201
83651                           133.122            4.996          128.126            0.962  2146
8434                            159.917            6.306          153.611            0.961  2526
854026                          244.498           15.469          229.029            0.937  2335
8629                            457.789           40.927          416.862            0.911  3871
8635                            145.038            5.279          139.759            0.964  2128
90120509                        240.531           19.689          220.842            0.918  2648
9064                            256.392           13.335          243.057            0.948  3193
90657995                        259.301           13.162          246.139            0.949  2844
91469                           229.630           10.638          218.992            0.954  2724
92109                           318.770           24.738          294.032            0.922  2734
92180                           196.555            8.162          188.393            0.958  2163
931                             129.416            2.899          126.517            0.978  2039
932                             239.822           10.274          229.548            0.957  2530
9883304                         255.158            8.294          246.863            0.967  2684
99514                           333.987           25.507          308.480            0.924  3124
