cid	MDS_01	MDS_02	MDS_03	MDS_04	MDS_05	MDS_06	MDS_07	MDS_08	MDS_09	MDS_10	MDS_11	MDS_12	SESA	smiles	NumValenceElectrons	NumHeteroatoms	MinPartialCharge	MaxPartialCharge	MinAbsPartialCharge	MaxAbsPartialCharge	MolecularWeight	HBondAcceptorCount	HBondDonorCount	RotatableBondCount	Complexity	HallKierAlpha	LabuteASA	NumRings	NumAmideBonds	NumBridgeheadAtoms	NumHeterocycles	NumLipinskiHBA	NumLipinskiHBD	NumSpiroAtoms	TPSA	NumAliphaticRings	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	FractionCSP3	Eccentricity	Asphericity	InertialShapeFactor	NPR1	NPR2	SpherocityIndex	RadiusOfGyration	MolLogP	MolMR	HeavyAtomCount	VanDerWaalsVolume	Charge	SASA	AtomStereoCount	BondStereoCount	C_O	C_O_noCOO	Al_OH	Ar_OH	methoxy	oxime	ester	Al_COO	Ar_COO	COO	COO2	ketone	ether	phenol	aldehyde	quatN	NH2	NH1	NH0	Ar_N	Ar_NH	aniline	Imine	nitrile	hdrzine	hdrzone	nitroso	N_O	nitro	azo	diazo	azide	amide	priamide	amidine	guanido	Nhpyrrole	imide	isocyan	isothiocyan	thiocyan	halogen	alkyl_halide	sulfide	SH	C_S	sulfone	sulfonamd	prisulfonamd	barbitur	urea	term_acetylene	imidazole	furan	thiophene	thiazole	oxazole	pyridine	piperdine	piperzine	morpholine	lactam	lactone	tetrazole	epoxide	unbrch_alkane	bicyclic	benzene	phos_acid	phos_ester	nitro_arom	nitro_arom_nonortho	dihydropyridine	phenol_noOrthoHbond	Al_OH_noTert	benzodiazepine	para_hydroxylation	allylic_oxid	aryl_methyl	Ndealkylation1	Ndealkylation2	alkyl_carbamate	ketone_Topliss	ArN	HOCCN	primary_alcohol	secondary_alcohol	tertiary_alcohol	coumarin	thiophenol	hydroxyamino	SolventExcludedVolume	VoidVolume	PackingDensity
323	0.16540709631361245	-0.8521100621242523	-0.09042198186784633	-0.6936810738453446	-1.1729882251871355	0.2219262938932013	-0.16149944047558362	0.2556574909268832	-0.4092346460786545	-0.20969364679535055	-0.140909408386712	-0.27618366754902796	151.867	C1=CC=C2C(=C1)C=CC(=O)O2	54	2	-0.4227294736611369	0.3356903161643383	0.3356903161643383	0.4227294736611369	146.14500000000004	2	0	0	690.4162740260144	-1.5699999999999998	71.50922957629184	2	0	0	1	2	0	0	30.21	0	0	0	2	1	1	0	0	0	0.0	0.9713838196923397	0.4566947954021882	0.004466161076077496	0.2375152097022843	0.7624847903610535	3.476038526589506e-10	2.2177403989501396	1.7929999999999997	42.484000000000016	11	126.263	0	167.53854213745814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	129.181	2.918	0.977
338	-0.021465893822415108	-0.23524464381137053	0.9132873780076357	-0.9187449924278279	0.3091341634360485	-0.6339954069189481	0.730386570336043	-0.08726158467001535	-0.6083582052571485	0.21792028124772522	0.2616383725612124	-0.20373618240592495	152.626	C1=CC=C(C(=C1)C(=O)O)O	52	3	-0.5070528909451979	0.338969087360731	0.338969087360731	0.5070528909451979	138.12200000000004	3	2	2	446.48368330161514	-1.51	66.14949835559072	1	0	0	0	3	2	0	57.53	0	0	0	1	1	0	0	0	0	0.0	0.9446040133928072	0.33826671429034627	0.0032079977009757425	0.32821221470597556	0.6726147860791275	0.0059293162102386325	2.1510333995990742	1.0903999999999998	35.06609999999999	10	118.910	0	163.7920356922671	0	0	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	122.223	3.313	0.973
366	-1.2976050520768259	-0.6816893189805712	-1.9073012854224043	-1.2101920799608135	0.0023012192009485514	1.0194616705851502	0.3714129634163488	0.6952902525177228	0.6055187238185095	-0.3811077342434937	-0.059717170578254895	0.3391538827273021	234.713	CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C	82	4	-0.4265871775329857	0.3359621591313357	0.3359621591313357	0.4265871775329857	218.20800000000006	4	0	3	969.5859116165873	-2.1	105.49900524970356	2	0	0	1	4	0	0	56.51	0	0	0	2	1	1	0	0	0	0.16666666666666666	0.9797962650201328	0.5162166398639377	0.0020640554656451964	0.19999819762337284	0.8565551400778504	0.06729047416128833	3.126969150628492	2.0267199999999996	58.53000000000003	16	188.080	0	255.97930335662164	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	196.575	8.495	0.957
681	0.6374973408479881	-0.7409953219216656	1.5690133990218829	0.09825324695622639	0.22783638020979521	0.08402592224172782	0.018909761031529398	-0.025388885116176412	0.022382068111356596	0.2405370686876366	0.4140747723915237	0.28745536375685915	185.709	C1=CC(=C(C=C1CCN)O)O	60	3	-0.5042598931005379	0.2932937828307551	0.2932937828307551	0.5042598931005379	153.1810000000001	3	3	5	575.9458652402312	-1.22	80.83377483227201	1	0	0	0	3	4	0	66.48	0	0	0	1	1	0	0	0	0	0.25	0.9851276469605464	0.5710155547172924	0.004747689412836922	0.17182409375281824	0.8678895689766399	0.12431701293439716	2.661437106668553	0.5989999999999995	42.53000000000001	11	144.856	0	211.22538256417278	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152.852	7.995	0.948
780	0.2722726908667395	-0.46257904481143824	1.0742307102508895	-0.8296551109598473	1.023878363353002	-0.232139257608562	0.7858439637616991	-0.029187281078810436	-0.09773250040441943	0.34501877354590293	0.31475036860512723	-0.07479217299117462	184.347	C1=CC(=C(C=C1O)CC(=O)O)O	64	4	-0.5079513734166975	0.3074618421664262	0.3074618421664262	0.5079513734166975	168.14800000000005	4	3	4	546.0137893292596	-1.7099999999999997	80.20528548064618	1	0	0	0	4	3	0	77.76	0	0	0	1	1	0	0	0	0	0.125	0.9557688334224337	0.3611888372706318	0.0028162145779686387	0.29411891652581634	0.8207446427708336	0.1795243110005917	2.496261074674688	0.7248999999999997	41.11140000000002	12	144.692	0	208.21795413524396	0	0	1	0	0	2	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	152.442	7.750	0.949
802	-0.2544502808933618	0.14128413613528715	0.9460516092152468	-1.2419139350198485	0.08289028873628723	-0.13338519998989826	0.1807864208756118	-0.08151166736566359	-0.7783459508517352	0.10024111774859029	0.10977748251363184	-0.19748848068261152	199.250	C1=CC=C2C(=C1)C(=CN2)CC(=O)O	66	3	-0.4809852150164579	0.3073964894414978	0.3073964894414978	0.4809852150164579	175.18700000000007	2	2	2	798.0167129844715	-1.77	87.79732954515534	2	0	0	1	3	2	0	53.09	0	0	0	2	1	1	0	0	0	0.1	0.956747595276994	0.36622829002336466	0.00255874640335592	0.2909192996892593	0.8109093244563065	0.1539818246421674	2.556342105336646	1.7949999999999995	49.638500000000015	13	156.313	0	221.95999653692886	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	164.645	8.332	0.949
931	-0.052277203376276525	-0.2418251337360761	1.0798148821899383	-0.17818115459141426	-1.2155943175871966	-0.26885502624831736	-0.3275629668823395	0.15296678339997205	-0.2469070359159467	-0.19961060471665937	0.05674720473513637	0.020806297791227744	151.355	C1=CC=C2C=CC=CC2=C1	48	0	-0.06162971144687501	0.06292384158258316	0.06162971144687501	0.06292384158258316	128.17399999999995	0	0	0	562.85273182753	-1.2999999999999998	71.35283165257466	2	0	0	0	0	0	0	0.0	0	0	0	2	2	0	0	0	0	0.0	0.9612020101759053	0.40073582745071745	0.004728119741584477	0.2758454198166043	0.7241545801871907	1.7389825853943127e-11	2.0813185265966054	2.839800000000001	43.94800000000003	10	126.527	0	175.5157319860501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129.465	2.938	0.977
932	2.271286109211848	-1.5514008410313924	-0.4594760733890128	-0.23981917034262432	-0.002427222270396484	-1.2480352719649759	0.7234926982123376	-0.7959019093024354	1.3557017544454901	0.06385926933498014	0.0008983716436677652	0.522627141033217	282.463	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O	102	5	-0.5079666065471226	0.29313584799508347	0.29313584799508347	0.5079666065471226	272.25599999999974	5	3	4	1123.8415183949342	-2.6899999999999995	131.35491787775572	3	0	0	1	5	3	0	86.99000000000001	1	0	1	2	2	0	0	0	0	0.13333333333333333	0.9829586687772346	0.5470913249871723	0.001347990217092289	0.18382669957241468	0.8701096208679511	0.157604495987686	3.6393940436990615	2.5099000000000022	70.19490000000002	20	230.127	0	311.67480781378686	1	0	1	1	0	3	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	3	3	0	0	0	0	241.585	11.458	0.953
980	0.6553390856405775	-0.5922556773148693	1.1304453595364745	-0.21447083190385277	-0.02531869592253021	-0.20009973347785437	0.4732852845024827	0.1570872886975728	-0.12611361872157917	-0.005304195772369002	0.2074809745791252	0.10126561189537225	151.397	C1=CC(=CC=C1[N+](=O)[O-])O	52	4	-0.5079581647909615	0.29309216558661827	0.29309216558661827	0.5079581647909615	139.11000000000004	3	1	2	406.2609223639588	-1.5799999999999998	63.99013535315909	1	0	0	0	4	1	0	63.370000000000005	0	0	0	1	1	0	0	0	0	0.0	0.9860571773962715	0.5836814317287312	0.00657227504307211	0.1664068595500136	0.8357106764944262	0.020563717543085672	2.3449582214278277	1.3003999999999998	34.7612	10	116.123	0	159.99102812937346	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	120.134	4.011	0.967
996	0.5713119862320556	-0.6771872257937099	1.3505182589440332	-0.15357775746262647	-0.41416601499115024	-0.32463594894830744	0.15773932311293987	0.05352809929447213	-0.1239557859339768	-0.1062698407846641	0.11105079085897551	0.11756778304890209	118.775	C1=CC=C(C=C1)O	36	1	-0.5079669948663066	0.2930920665845635	0.2930920665845635	0.5079669948663066	94.11299999999996	1	1	1	320.4630927223895	-0.98	50.74213013082711	1	0	0	0	1	1	0	20.23	0	0	0	1	1	0	0	0	0	0.0	0.95293553070385	0.3648825377154496	0.00817449461661895	0.3031730105437681	0.7017921867322926	0.02420243973576783	1.736769376253709	1.3921999999999997	28.106799999999993	7	92.131	0	137.91341262996886	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.566	2.436	0.974
1140	-0.14005414749868542	0.0222216184877439	0.766207129346588	0.08259283791847723	-1.1507133078597611	-0.07206936387508558	-0.3254784904216215	0.27513987469534107	-0.23431448305810354	-0.1653791858615377	0.04607932800986737	0.17812058389690857	131.715	CC1=CC=CC=C1	36	0	-0.06224908578199482	0.06254971751970131	0.06224908578199482	0.06254971751970131	92.14099999999995	0	0	1	375.4268162614292	-0.78	55.0361092352361	1	0	0	0	0	0	0	0.0	0	0	0	1	1	0	0	0	0	0.14285714285714285	0.9493606191587051	0.3504114326383723	0.007801123344589778	0.3141885020025402	0.6970093519382461	0.05993158128947081	1.7616982642058707	1.99502	31.17899999999999	7	100.353	0	152.9144644648074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.547	3.194	0.969
