cid	MDS_01	MDS_02	MDS_03	MDS_04	MDS_05	MDS_06	MDS_07	MDS_08	MDS_09	MDS_10	MDS_11	MDS_12	SESA	MolecularWeight	smiles	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	AtomStereoCount	BondStereoCount	NumValenceElectrons	NumHeteroatoms	MinPartialCharge	MaxPartialCharge	MinAbsPartialCharge	MaxAbsPartialCharge	HallKierAlpha	LabuteASA	NumRings	NumAmideBonds	NumBridgeheadAtoms	NumHeterocycles	NumLipinskiHBA	NumLipinskiHBD	NumSpiroAtoms	NumAliphaticRings	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	FractionCSP3	Eccentricity	Asphericity	InertialShapeFactor	NPR1	NPR2	SpherocityIndex	RadiusOfGyration	MolLogP	MolMR	HeavyAtomCount_2	VanDerWaalsVolume	SASA	C_O	C_O_noCOO	Al_OH	Ar_OH	methoxy	oxime	ester	Al_COO	Ar_COO	COO	COO2	ketone	ether	phenol	aldehyde	quatN	NH2	NH1	NH0	Ar_N	Ar_NH	aniline	Imine	nitrile	hdrzine	hdrzone	nitroso	N_O	nitro	azo	diazo	azide	amide	priamide	amidine	guanido	Nhpyrrole	imide	isocyan	isothiocyan	thiocyan	halogen	alkyl_halide	sulfide	SH	C_S	sulfone	sulfonamd	prisulfonamd	barbitur	urea	term_acetylene	imidazole	furan	thiophene	thiazole	oxazole	pyridine	piperdine	piperzine	morpholine	lactam	lactone	tetrazole	epoxide	unbrch_alkane	bicyclic	benzene	phos_acid	phos_ester	nitro_arom	nitro_arom_nonortho	dihydropyridine	phenol_noOrthoHbond	Al_OH_noTert	benzodiazepine	para_hydroxylation	allylic_oxid	aryl_methyl	Ndealkylation1	Ndealkylation2	alkyl_carbamate	ketone_Topliss	ArN	HOCCN	primary_alcohol	secondary_alcohol	tertiary_alcohol	coumarin	thiophenol	hydroxyamino	SolventExcludedVolume	VoidVolume	PackingDensity
323	-0.41572655590142604	0.8553477156744909	0.04198266437423429	-0.14726966745984993	-0.7041525780112464	0.8854537441106876	-0.7361506052840175	-0.10393152770025736	-0.23864705068089653	-0.10349445183426932	-0.07814152217157205	-0.12136282680189128	157.196	146.14	C1=CC=C2C(=C1)C=CC(=O)O2	26.3	196	0	0	2	0	11	0	0	54	2	-0.4227294736611369	0.33569031616433825	0.33569031616433825	0.4227294736611369	-1.5699999999999998	71.50922957629184	2	0	0	1	2	0	0	0	0	0	2	1	1	0	0	0	0.0	0.973344456796794	0.4697572911449902	0.004584668087367257	0.22934813804117507	0.770651861961019	1.2535351985850966e-11	2.2394201207939877	1.7929999999999997	42.484000000000016	11	126.741	169.82996325419614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	129.805	3.064	0.976
338	-0.48071582307996163	-0.010153084530760376	0.6103087053791725	1.065275255990207	0.36606360985448294	0.8076186225986138	0.5006250577788269	0.2630300004509665	-0.6702368204545932	-0.10052441024725677	0.12607436918323647	-0.053076009346525906	154.660	138.12	C1=CC=C(C(=C1)C(=O)O)O	57.5	133	0	2	3	1	10	0	0	52	3	-0.507052890945198	0.33896908736073095	0.33896908736073095	0.507052890945198	-1.51	66.14949835559072	1	0	0	0	3	2	0	0	0	0	1	1	0	0	0	0	0.0	0.9423440372997934	0.33161706240413946	0.0031385323164485578	0.3346456564271015	0.6665776542653546	0.008768459903015077	2.144227325564638	1.0903999999999998	35.06609999999999	10	118.984	164.18375501647958	1	0	0	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	122.631	3.647	0.970
366	-1.3669424283658014	0.4978332633306619	-1.2481109885346633	-1.4327382342450632	0.24770915273028285	1.0135692773239355	0.3578859763930113	-1.3106563416598478	0.3434465230095562	0.456991227543088	0.0036626972411759034	0.9452959323138826	230.495	218.2	CC1=CC(=O)OC2=C1C=CC(=C2)OC(=O)C	52.6	345	0	0	4	2	16	0	0	82	4	-0.42658717753298575	0.33596215913133565	0.33596215913133565	0.42658717753298575	-2.1	105.49900524970356	2	0	0	1	4	0	0	0	0	0	2	1	1	0	0	0	0.16666666666666666	0.9793398946232124	0.5120438794857337	0.0020784691919934458	0.20222109385372047	0.8570761206967227	0.07194461000897236	3.1019433205809412	2.0267199999999996	58.53000000000003	16	188.143	254.0658586423598	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	196.351	8.208	0.958
681	-0.003360836306272593	0.5143192060559101	0.9215558157052066	1.3888998170182034	-0.22818722750902842	-0.581607832277418	-0.15453022419963813	-0.05774743794390075	0.05208138437880546	-0.020624495421862298	0.30804296339731385	0.5294921438462558	187.892	153.18	C1=CC(=C(C=C1CCN)O)O	66.5	119	0	3	3	2	11	0	0	60	3	-0.5042598931005379	0.293293782830755	0.293293782830755	0.5042598931005379	-1.22	80.83377483227201	1	0	0	0	3	4	0	0	0	0	1	1	0	0	0	0	0.25	0.9848408427166762	0.5676617495492581	0.004686129780314692	0.17346041195934989	0.8713793577471247	0.1314852943336242	2.6749057517251136	0.5989999999999995	42.53000000000001	11	145.411	215.17543616390472	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153.328	7.917	0.948
780	-0.28622140801675067	0.22549688366277162	0.6952324208368023	1.4047362828008738	0.6268268899368162	0.38141899177633043	0.811793258069544	-0.29161075753889526	-0.37167960374164905	0.14891132653182867	0.3414212353471404	-0.13635063336632536	188.554	168.15	C1=CC(=C(C=C1O)CC(=O)O)O	77.8	168	0	3	4	2	12	0	0	64	4	-0.5079513734166975	0.30746184216642614	0.30746184216642614	0.5079513734166975	-1.7099999999999997	80.20528548064618	1	0	0	0	4	3	0	0	0	0	1	1	0	0	0	0	0.125	0.9466869663728289	0.32681471384426225	0.002297831225495997	0.322154912580594	0.7612427350737386	0.19921326262790448	2.5240349938091455	0.7248999999999997	41.11140000000002	12	145.293	208.23056471336818	1	0	0	2	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	153.400	8.107	0.947
802	-0.43467022436912833	-0.3778156054591135	0.033387800249634704	1.2843614183942917	0.05797261772592904	0.9755584241929417	-0.008978200271791734	-0.02495808445248281	-0.6203423280926148	-0.3075454538969616	0.3129678069773646	-0.3129722840595058	193.045	175.18	C1=CC=C2C(=C1)C(=CN2)CC(=O)O	53.1	205	0	2	2	2	13	0	0	66	3	-0.4809852150164579	0.3073964894414978	0.3073964894414978	0.4809852150164579	-1.77	87.79732954515534	2	0	0	1	3	2	0	0	0	0	2	1	1	0	0	0	0.1	0.9828938337606207	0.5485810267118876	0.003419348176279515	0.18417304785269017	0.8227544699472747	0.03360599236940897	2.7355857530785928	1.7949999999999995	49.638500000000015	13	155.775	218.25733607944935	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	162.167	6.392	0.961
932	1.0500898404217585	2.2317231384655827	1.316325035864873	-0.21604046164840693	0.30829703010871545	0.41948722996830895	0.6366742037394116	0.9581726444919059	0.9111151301317529	1.1923151285503335	0.20964189043327874	-0.3373753737219871	275.439	272.25	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O	87.0	363	0	3	5	1	20	1	0	102	5	-0.5079666065471226	0.2931358479950834	0.2931358479950834	0.5079666065471226	-2.6899999999999995	131.35491787775572	3	0	0	1	5	3	0	1	0	1	2	2	0	0	0	0	0.13333333333333333	0.9843188624404148	0.5618853289907759	0.0014342514992066937	0.17639834762266857	0.8895316793295502	0.19768964649670354	3.6523708962759773	2.5099000000000022	70.19490000000002	20	229.516	311.63761455161	1	1	0	3	0	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	3	3	0	0	0	0	241.324	11.807	0.951
980	0.0535086399229573	0.46425754624563365	0.9380899213445411	0.9860219262642006	-0.22133354608469416	0.09434054636623754	-0.055008456206628746	-0.038430875795831446	-0.437954368876631	0.29841180051159655	0.1305362100248772	0.20034039354584382	149.791	139.11	C1=CC(=CC=C1[N+](=O)[O-])O	66.0	123	0	1	3	0	10	0	0	52	4	-0.5079581647909615	0.2930921655866182	0.2930921655866182	0.5079581647909615	-1.5799999999999998	63.99013535315909	1	0	0	0	4	1	0	0	0	0	1	1	0	0	0	0	0.0	0.9865641421954225	0.5898035382994867	0.006692017606447324	0.16337439620151628	0.8385004438688849	0.01794669282942687	2.349121072772644	1.3003999999999998	34.7612	10	116.034	159.51914396750635	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	119.929	3.895	0.968
996	-0.09862946717279814	0.4615267489995138	1.0338482021833368	1.075796353128549	-0.40254897393941835	0.09559559842679224	-0.4286919863573778	0.25926617540032443	-0.25884419830052074	0.17809705533248302	0.009863146186750766	0.25516944107293466	122.249	94.11	C1=CC=C(C=C1)O	20.2	46	0	1	1	0	7	0	0	36	1	-0.5079669948663066	0.29309206658456344	0.29309206658456344	0.5079669948663066	-0.98	50.74213013082711	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0.0	0.9516032586986592	0.3599052525824963	0.008055286695818209	0.3073292014015143	0.6979428403103931	0.025658492841556364	1.7330630237142297	1.3921999999999997	28.106799999999993	7	92.151	137.93633571951216	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94.522	2.370	0.975
1140	-0.3598551345600976	-0.2774661663152652	0.4260092097917467	0.2156763904824249	-0.7142100632612627	0.1150947026460668	-1.0251051356117218	0.3205976412896747	-0.17337689650228733	-0.00912662297983233	-0.17128047419687858	0.4091319066960782	127.200	92.14	CC1=CC=CC=C1	0.0	42	0	0	0	0	7	0	0	36	0	-0.06224908578199481	0.06254971751970131	0.06224908578199481	0.06254971751970131	-0.78	55.0361092352361	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0.14285714285714285	0.9453166870579528	0.3372011243439214	0.0074751714143279835	0.3261538918513416	0.6852011054369045	0.06075986092972641	1.751419064834863	1.99502	31.17899999999999	7	100.191	152.4481122283942	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103.179	2.988	0.971
