cid	SESA
64802	246.117
64981	402.350
65090	190.537
65126	355.108
65243	365.747
6549	221.412
65727	446.081
66	154.228
66777173	278.591
66856475	306.216
67042231	251.775
67591	191.186
67650	215.662
67854	169.138
67878	170.669
67970	138.789
68071	264.967
68073	181.007
68099	163.161
681	185.709
68146761	283.012
68213	262.407
68247	278.719
68252	244.113
68289	144.424
68484	219.173
6884	190.600
688669	295.221
689014	291.285
689043	195.225
689075	218.840
689111	263.245
6895	155.012
6914	168.978
69146	239.286
69560032	223.108
69867	173.554
6989	201.945
6995	164.528
6996	146.079
6997	159.164
6998	141.182
7003	168.611
7005	158.176
7009598	283.717
70144	189.125
7015695	268.988
7020	198.017
7041	181.151
7058	172.211
70775	184.396
70884183	499.057
71034	229.328
7127	229.174
7128	223.173
71339444	224.959
7136	252.785
7137	255.713
7150	164.270
7172	207.603
72	163.492
72276	293.460
72303	313.435
72304	230.742
7238	144.040
7239	140.909
72493	744.582
7257	159.909
72648693	527.880
7270	172.643
7271	166.760
72738902	319.183
72936	467.571
73399	376.158
73412	517.329
73571	289.703
736736	245.479
7374	161.799
7410	152.689
7463	192.577
746449	291.211
7467	170.181
7476	177.556
7500	151.823
7503	148.077
75074	228.385
7519	137.382
75724	247.300
7644	199.461
7654	206.819
76832036	199.337
77093	233.464
77793	261.264
7780	273.547
780	184.347
7815	150.910
78838	227.700
79332	194.351
79367	212.104
7950	159.298
7964	126.123
7969	133.055
79964	163.514
802	199.250
802311	235.824
8294	265.673
83063	209.278
8363	245.059
83651	164.665
8417	210.897
8434	195.122
8449	151.793
84654	180.723
8499	195.962
854026	270.807
85447335	497.359
85730	141.346
85755	229.013
85773370	250.758
85777085	255.491
8635	174.698
8653	225.112
8658	158.298
8785	181.735
9025	173.429
9064	288.656
90657995	289.972
90720	295.635
91469	263.755
91747288	266.231
91749226	241.268
92109	337.653
92180	232.709
92249	193.260
9229	140.722
928228	212.835
92841	225.833
931	151.355
932	282.463
94156	241.287
94307	257.282
9450	153.702
94525	261.670
9481	177.814
958750	201.134
9591	137.798
9604	132.159
96744	156.851
980	151.397
9842892	393.990
9883304	282.013
98955	212.618
9898919	211.518
99106	229.997
9948	235.847
99514	341.529
996	118.775
9991610	240.511
UNKNOWN1	385.580
UNKNOWN2	305.305
UNKNOWN3	316.298
UNKNOWN4	574.488
UNKNOWN5	440.649
UNKNOWN6	574.020
