cid	SolventExcludedVolume	VoidVolume	VanDerWaalsVolume	PackingDensity
13	129.595	4.384	125.210	0.966
66	124.208	4.359	119.849	0.965
72	132.238	4.227	128.010	0.968
102	122.431	5.285	117.146	0.957
125	121.382	4.431	116.952	0.963
135	124.204	4.023	120.182	0.968
240	105.532	2.822	102.710	0.973
241	84.967	1.538	83.429	0.982
244	113.032	4.497	108.535	0.960
289	102.631	2.552	100.079	0.975
323	129.181	2.918	126.263	0.977
338	122.223	3.313	118.910	0.973
366	196.575	8.495	188.080	0.957
681	152.852	7.995	144.856	0.948
780	152.442	7.750	144.692	0.949
802	164.645	8.332	156.313	0.949
931	129.465	2.938	126.527	0.977
932	241.585	11.458	230.127	0.953
980	120.134	4.011	116.123	0.967
996	94.566	2.436	92.131	0.974
1140	103.547	3.194	100.353	0.969
1254	187.579	13.495	174.084	0.928
1738	170.978	8.859	162.119	0.948
2345	207.814	8.314	199.499	0.960
2355	185.350	7.675	177.675	0.959
3102	179.332	5.551	173.781	0.969
3197	1091.502	130.349	961.153	0.881
3314	169.554	8.095	161.460	0.952
3469	132.544	4.538	128.006	0.966
3830	186.887	5.683	181.205	0.970
4114	184.796	7.066	177.730	0.962
4133	140.055	3.925	136.130	0.972
4175	428.763	41.566	387.196	0.903
4477	254.005	9.422	244.583	0.963
4534	306.270	19.670	286.600	0.936
4592	285.294	15.579	269.715	0.945
4684	109.740	3.588	106.152	0.967
4685	115.348	3.722	111.626	0.968
4788	253.948	14.177	239.771	0.944
4947	196.833	9.960	186.874	0.949
5146	122.142	4.623	117.519	0.962
5564	222.865	9.724	213.141	0.956
5793	160.523	10.781	149.742	0.933
5959	269.110	19.961	249.149	0.926
6032	464.042	51.076	412.966	0.890
6047	183.079	10.237	172.841	0.944
6054	131.290	6.466	124.824	0.951
6072	401.846	31.213	370.634	0.922
6199	155.371	3.811	151.560	0.975
6288	117.225	7.302	109.923	0.938
6406	92.353	4.566	87.787	0.951
6466	322.533	25.210	297.323	0.922
6549	188.797	14.670	174.127	0.922
6884	160.302	8.803	151.499	0.945
6895	129.337	4.387	124.950	0.966
6914	138.887	4.898	133.989	0.965
6989	169.544	10.210	159.333	0.940
6995	136.961	6.176	130.784	0.955
6996	118.745	3.309	115.436	0.972
6997	128.909	4.263	124.646	0.967
6998	114.481	3.337	111.144	0.971
7003	143.402	3.709	139.693	0.974
7005	137.753	3.498	134.255	0.975
7020	173.574	4.211	169.363	0.976
7041	147.842	5.016	142.826	0.966
7058	150.132	4.782	145.350	0.968
7127	187.917	8.993	178.924	0.952
7128	184.556	6.426	178.130	0.965
7136	210.684	12.381	198.304	0.941
7137	208.315	10.652	197.664	0.949
7150	132.514	4.033	128.481	0.970
7172	170.908	8.713	162.194	0.949
7238	117.096	3.609	113.487	0.969
7239	114.669	3.308	111.361	0.971
7257	127.836	4.619	123.216	0.964
7270	144.647	5.457	139.190	0.962
7271	138.993	5.161	133.832	0.963
7374	133.383	5.301	128.082	0.960
7410	122.854	3.810	119.043	0.969
7463	158.342	8.382	149.959	0.947
7467	137.924	4.919	133.004	0.964
7476	149.726	5.155	144.571	0.966
7500	122.326	5.556	116.770	0.955
7503	118.778	4.681	114.098	0.961
7519	111.396	2.904	108.493	0.974
7644	160.874	5.243	155.631	0.967
7654	174.920	12.874	162.045	0.926
7780	226.224	14.076	212.148	0.938
7815	120.068	3.811	116.257	0.968
7950	130.468	4.778	125.690	0.963
7964	99.975	2.539	97.435	0.975
7969	105.206	3.082	102.124	0.971
8294	225.626	15.300	210.326	0.932
8363	215.454	8.775	206.679	0.959
8417	183.289	6.043	177.246	0.967
8434	160.293	6.490	153.802	0.960
8449	123.483	3.993	119.490	0.968
8499	159.498	5.392	154.106	0.966
8635	145.279	5.712	139.567	0.961
8653	193.870	6.098	187.771	0.969
8658	131.598	4.014	127.585	0.969
8785	151.674	7.149	144.525	0.953
9025	139.171	4.697	134.474	0.966
9064	255.222	12.727	242.494	0.950
9229	110.150	2.418	107.732	0.978
9450	134.867	3.451	131.416	0.974
9481	149.224	6.440	142.784	0.957
9591	108.929	3.810	105.118	0.965
9604	105.324	3.059	102.265	0.971
9948	199.011	8.704	190.307	0.956
10008	90.356	2.015	88.341	0.978
10114	493.599	36.131	457.469	0.927
10154	313.192	19.707	293.486	0.937
10251	212.187	8.345	203.843	0.961
10680	202.803	6.002	196.801	0.970
10742	177.219	6.675	170.544	0.962
10748	156.561	4.550	152.011	0.971
10778	153.433	8.151	145.282	0.947
10819	174.913	11.455	163.458	0.935
10869	129.414	4.360	125.054	0.966
10943	115.248	3.730	111.517	0.968
11119	142.173	5.141	137.032	0.964
11124	94.711	3.764	90.947	0.960
11334	123.981	4.110	119.870	0.967
11502	186.333	4.991	181.342	0.973
11782	148.171	5.188	142.984	0.965
11833	147.341	4.459	142.882	0.970
11895	146.194	4.568	141.626	0.969
11970	144.242	7.361	136.881	0.949
12167	127.104	4.127	122.977	0.968
12462	167.969	8.372	159.597	0.950
12463	144.292	5.386	138.906	0.963
12468	144.425	5.475	138.950	0.962
12560	776.780	86.150	690.630	0.889
12820	165.762	5.867	159.895	0.965
13247	179.617	8.140	171.477	0.955
13410	149.559	6.796	142.763	0.955
13601	125.204	7.897	117.307	0.937
14104	183.973	9.115	174.858	0.950
14307	147.640	5.119	142.522	0.965
14969	1358.630	157.500	1201.130	0.884
15541	306.670	21.081	285.589	0.931
15956	215.277	10.291	204.986	0.952
15965	165.980	6.206	159.774	0.963
16125	141.848	4.911	136.938	0.965
16126	141.849	4.814	137.035	0.966
16666	188.143	13.817	174.326	0.927
16668	155.998	4.265	151.732	0.973
17090	178.745	12.300	166.445	0.931
17100	180.397	11.503	168.895	0.936
18950	160.842	11.035	149.807	0.931
19089	149.153	6.963	142.190	0.953
19212	481.877	37.964	443.912	0.921
