cid	MDS_01	MDS_02	MDS_03	MDS_04	MDS_05	MDS_06	MDS_07	MDS_08	MDS_09	MDS_10	MDS_11	MDS_12	SESA	MolecularWeight	smiles	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	AtomStereoCount	BondStereoCount	NumValenceElectrons	NumHeteroatoms	MinPartialCharge	MaxPartialCharge	MinAbsPartialCharge	MaxAbsPartialCharge	HallKierAlpha	LabuteASA	NumRings	NumAmideBonds	NumBridgeheadAtoms	NumHeterocycles	NumLipinskiHBA	NumLipinskiHBD	NumSpiroAtoms	NumAliphaticRings	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	FractionCSP3	Eccentricity	Asphericity	InertialShapeFactor	NPR1	NPR2	SpherocityIndex	RadiusOfGyration	MolLogP	MolMR	VanDerWaalsVolume	SASA	C_O	C_O_noCOO	Al_OH	Ar_OH	methoxy	oxime	ester	Al_COO	Ar_COO	COO	COO2	ketone	ether	phenol	aldehyde	quatN	NH2	NH1	NH0	Ar_N	Ar_NH	aniline	Imine	nitrile	hdrzine	hdrzone	nitroso	N_O	nitro	azo	diazo	azide	amide	priamide	amidine	guanido	Nhpyrrole	imide	isocyan	isothiocyan	thiocyan	halogen	alkyl_halide	sulfide	SH	C_S	sulfone	sulfonamd	prisulfonamd	barbitur	urea	term_acetylene	imidazole	furan	thiophene	thiazole	oxazole	pyridine	piperdine	piperzine	morpholine	lactam	lactone	tetrazole	epoxide	unbrch_alkane	bicyclic	benzene	phos_acid	phos_ester	nitro_arom	nitro_arom_nonortho	dihydropyridine	phenol_noOrthoHbond	Al_OH_noTert	benzodiazepine	para_hydroxylation	allylic_oxid	aryl_methyl	Ndealkylation1	Ndealkylation2	alkyl_carbamate	ketone_Topliss	ArN	HOCCN	primary_alcohol	secondary_alcohol	tertiary_alcohol	coumarin	thiophenol	hydroxyamino	SolventExcludedVolume	VoidVolume	PackingDensity
65126	4.17595327052637	2.4123421551283193	0.35249934379930487	1.1942350299470084	-1.242441626226175	-1.358261546417613	0.7789275163319825	-1.1130011694137085	0.5843102194845157	-2.309760986014366	-2.6014255621027784	1.2258347860026217	1349.120	332.4	CC(C)C1=C(C(=C2C(=C1)CCC3C2(CCCC3(C)C)C(=O)O)O)O	77.8	500	0	3	4	2	24	2	0	132	4	-0.5040549269764245	0.3140816573229235	0.3140816573229235	0.5040549269764245	-1.71	182.6723385497032	3	0	0	0	4	3	0	2	2	0	1	1	0	1	0	1	0.65	0.9575070597252162	0.36935485936994245	0.0008436383574799367	0.2884098309287866	0.855684666654705	0.2720338553311465	3.3676272314162015	4.316100000000005	92.61740000000005	315.894	429.338797519154	1	0	0	2	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	341.375	25.481	0.925
65243	4.2130831039837595	-0.796672653560934	3.544345900237101	-2.2364023320484288	-1.9504389055815239	-1.1607475372614988	0.10208078270014169	1.2120703214492343	-2.611233321395052	-0.6157860259966215	-2.6521302621780323	-0.22018528611573276	1450.904	424.4	CC1C(=O)OC2C1(C34C(=O)OC5C3(C2O)C6(C(C5)C(C)(C)C)C(C(=O)OC6O4)O)O	149.0	925	0	3	10	1	30	11	0	164	10	-0.4592516063258634	0.34251471175261394	0.34251471175261394	0.4592516063258634	-1.75	204.93891553334575	6	0	0	4	10	3	2	6	2	4	0	0	0	2	4	6	0.85	0.9101774213008327	0.2178374154520487	0.0005507905982754818	0.41421861589523784	0.8732699272094676	0.43660912611308905	3.2117515437515505	-1.369499999999999	92.01140000000004	339.851	420.4693709370977	3	3	3	0	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	22	36	0	0	0	366.779	26.927	0.927
67591	1.7082846443893207	1.4371388243314938	-0.6192524787554351	1.231679780835656	0.011022739856549902	2.488584294681445	0.6270211890800289	0.6586006924346974	-0.033060749751290766	-0.02647504885518843	2.0306593002902695	0.4811864591451502	587.766	180.16	CC(=O)OC1=CC2=C(C=C1)OCO2	44.8	204	0	0	4	2	13	0	0	68	4	-0.4535908242610428	0.30752617330102844	0.30752617330102844	0.4535908242610428	-1.71	86.26232009906442	2	0	0	1	4	0	0	1	0	1	1	1	0	0	0	0	0.2222222222222222	0.986660090538663	0.5908226402015369	0.004339697023898528	0.16279393642957674	0.9261650089331904	0.10770082900495231	2.756876683428588	1.3405999999999998	43.874000000000024	152.807	216.80457435517667	1	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	159.399	6.592	0.959
67650	-0.871986195266139	-2.06216575902448	0.5209436711914704	-0.17126717974477712	-2.829243024158096	0.4098883586311213	-0.7174495466145269	0.40590760170284806	2.085024667096675	0.34002158879998534	0.8794859508637366	0.4505686794963906	691.193	200.21	C1=CC=C(C=C1)C(=O)C2=CC=CC=C2F	17.1	221	0	0	2	2	15	0	0	74	2	-0.2884994293444491	0.19546550167161028	0.19546550167161028	0.2884994293444491	-1.9599999999999997	99.82523144443788	2	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0.0	0.9700449644399751	0.44132320332540464	0.0021376018695620754	0.24292543498910743	0.8160724165960358	0.11452890440755205	2.842708587663642	3.056700000000001	56.274500000000025	178.071	238.36918367127242	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183.789	5.718	0.969
68073	-0.006405841625977437	-0.009957568494719224	-2.7383534182820517	-0.07541617769263617	-0.6821560793777497	-0.47043065459658395	1.4622573538405519	0.5175199282850294	-0.2473582929479091	-1.7120779448983021	0.7182869742160525	0.1568664797908345	551.445	168.15	CC(=O)C1=C(C=C(C=C1O)O)O	77.8	168	0	3	4	1	12	0	0	64	4	-0.5076787056574326	0.29313584404469034	0.29313584404469034	0.5076787056574326	-1.71	80.20528548064618	1	0	0	0	4	3	0	0	0	0	1	1	0	0	0	0	0.125	0.9441500282381694	0.3355478102743712	0.002082647806106565	0.32951589366503087	0.6756401036914158	0.0454948926726371	2.4228405956094448	1.006	41.44090000000002	143.149	199.58729034408745	1	1	0	3	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	148.567	5.418	0.964
68099	-0.23811338262474616	-1.4007310800724275	-1.551285701659075	-1.359426591705619	0.43354316772797047	-0.36655328573374135	0.5961549984170165	-1.3211109599198998	-1.3955471584840988	-1.7972978107960442	-0.5465494509733602	0.3517800510220951	478.931	154.12	C1=C(C=C(C(=C1O)C=O)O)O	77.8	135	0	3	4	1	11	0	0	58	4	-0.50767870890271	0.29313556685473113	0.29313556685473113	0.50767870890271	-1.7099999999999997	71.03040236591397	1	0	0	0	4	3	0	0	0	0	1	1	0	0	0	0	0.0	0.9394998920594405	0.3237223684840807	0.002332094391819298	0.34254919766407244	0.6593094471752822	0.015399214991680787	2.315159447717765	0.6159000000000001	36.8239	127.167	172.5028390662004	1	1	0	3	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131.387	4.220	0.968
68213	0.43127569938818294	-2.256771155264423	-0.5418127217789828	0.9463188285955999	-0.18236263332217809	-2.865388070648215	1.483038359000884	-0.5906358045539907	0.561848037120823	-1.0170548182200554	2.1107258753874345	1.4306825839456938	827.299	262.21	C1=CC(=C(C=C1C(=O)C2=C(C=C(C=C2O)O)O)O)O	118.0	321	0	5	6	2	19	0	0	98	6	-0.5076787019502507	0.2932939831853328	0.2932939831853328	0.5076787019502507	-2.8900000000000006	121.46918659329575	2	0	0	0	6	5	0	0	0	0	2	2	0	0	0	0	0.0	0.9760516123680714	0.4840427387183115	0.001393889858005875	0.21753907693489988	0.8617014170362461	0.15466236607661712	3.3566223043729497	1.445600000000001	64.64050000000002	215.229	285.70915148008794	1	1	0	5	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225.148	9.919	0.956
68289	1.511389429290996	-0.43501350921943477	-1.142230817510416	-0.18520374343469734	1.2518985114181451	0.9061420497574315	1.1507896604626846	-1.252110820466566	0.20122532904874832	-0.5719586330593457	-0.8888250146037648	-1.375082335774894	449.896	138.12	C1OC2=C(O1)C=C(C=C2)O	38.7	126	0	1	3	0	10	0	0	52	3	-0.5078182199238754	0.2930955823999152	0.2930955823999152	0.5078182199238754	-1.3800000000000001	66.32833155070824	2	0	0	1	3	1	0	1	0	1	1	1	0	0	0	0	0.14285714285714285	0.9751016073036556	0.48033064808630593	0.005571460941294946	0.22175855210978362	0.7927245715541908	0.07842034470917603	2.163076185243144	1.1209	34.229800000000004	116.370	164.31115291934864	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	119.702	3.331	0.972
68481	-0.5336802494269591	0.6957107278221656	-0.06842523226549917	-2.487234262167249	-1.1429206482853405	-0.8822151338338801	-0.8436110471123928	1.600846528413325	-0.8647202569393859	0.31043656496275135	0.7731856101123923	1.298613659958647	565.887	150.17	CC(=O)C1=CC=CC=C1OC	26.3	143	0	0	2	2	11	0	0	58	2	-0.496001440369537	0.1630217596792718	0.1630217596792718	0.496001440369537	-1.31	79.85100179391551	1	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0.2222222222222222	0.8888089410317037	0.24984682394808555	0.0015329969206958642	0.4582779356919788	0.5504411467342101	0.05919477191257556	2.2890918691231867	1.8978	42.99850000000002	144.351	204.7797746163973	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	3	0	0	0	0	149.693	5.342	0.964
69867	-1.9659349879447854	-0.31980022638705924	1.3800662963380868	-2.011822622997422	-1.7344099363171974	-1.0887375579082668	-0.07981231679308902	-1.4449408397467738	0.8168161695458437	-1.29325279686435	0.35849246924430345	0.9224064022941254	541.789	161.16	C1=CC=C2C(=C1)C(=CN2)C(=O)O	53.1	193	0	2	2	1	12	0	0	60	3	-0.4775829341754366	0.3373684727007468	0.3373684727007468	0.4775829341754366	-1.77	78.62244643042311	2	0	0	1	3	2	0	0	0	0	2	1	1	0	0	0	0.0	0.956629452982685	0.3803287903682431	0.002680081871478781	0.29130755171476214	0.7099917574438027	0.009779507615006598	2.376233678151254	1.8660999999999999	45.25800000000001	139.318	192.69214205117984	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	144.055	4.737	0.967
