cid	SolventExcludedVolume	VoidVolume	VanDerWaalsVolume	PackingDensity
5281647	348.374	18.791	329.583	0.946
5281654	264.681	9.878	254.802	0.963
5281656	209.101	6.760	202.340	0.968
5281672	257.126	10.241	246.884	0.960
5281701	246.355	8.453	237.902	0.966
5281703	251.199	12.032	239.167	0.952
5281708	222.082	7.821	214.262	0.965
5281718	355.327	19.107	336.220	0.946
5281787	273.035	13.062	259.972	0.952
5281811	259.565	11.822	247.743	0.954
5281855	226.120	6.965	219.155	0.969
5284507	273.674	22.583	251.090	0.917
5284649	230.765	8.137	222.627	0.965
5315892	140.930	4.946	135.985	0.965
5317284	267.841	11.994	255.847	0.955
5317700	214.097	10.415	203.682	0.951
5318517	361.283	29.471	331.812	0.918
5318650	241.825	9.279	232.546	0.962
5319502	165.863	5.799	160.063	0.965
5320053	305.173	14.325	290.848	0.953
5320315	249.399	10.282	239.116	0.959
5320954	241.061	8.892	232.169	0.963
5321775	316.067	16.867	299.200	0.947
5327038	783.692	79.785	703.907	0.898
5328791	171.993	7.818	164.175	0.955
5337757	167.773	5.306	162.468	0.968
5338490	187.103	8.234	178.870	0.956
5354284	165.009	5.600	159.409	0.966
5363817	233.317	20.485	212.832	0.912
5366264	180.831	12.254	168.577	0.932
5370052	231.552	16.710	214.842	0.928
5373729	226.397	14.246	212.150	0.937
5375199	270.254	17.941	252.312	0.934
5375469	174.877	7.938	166.939	0.955
5379033	322.929	16.550	306.379	0.949
5379096	285.958	12.937	273.021	0.955
5388063	272.223	14.364	257.859	0.947
5398649	223.516	10.256	213.260	0.954
5413034	222.226	8.540	213.686	0.962
5464170	315.469	16.771	298.698	0.947
5484169	176.141	8.563	167.578	0.951
5912039	246.586	17.350	229.235	0.930
6255462	231.869	8.278	223.591	0.964
6293081	277.233	10.322	266.911	0.963
7009598	247.900	19.491	228.409	0.921
7015695	228.108	20.578	207.531	0.910
9883304	256.668	8.705	247.963	0.966
10057850	135.021	3.571	131.450	0.974
10176665	229.032	14.128	214.904	0.938
10225624	478.072	45.477	432.596	0.905
10441749	119.115	3.532	115.583	0.970
10467474	223.285	8.580	214.706	0.962
10681515	244.435	12.798	231.637	0.948
10684283	259.752	11.304	248.448	0.956
10796995	143.790	5.047	138.743	0.965
10922465	258.311	21.687	236.624	0.916
10955174	249.585	17.857	231.728	0.928
10955672	228.980	10.649	218.331	0.953
10988376	207.134	6.029	201.105	0.971
11032058	219.187	9.496	209.690	0.957
11105361	127.502	5.672	121.830	0.956
11149475	239.593	10.040	229.552	0.958
11240776	156.383	4.618	151.765	0.970
11446884	162.324	5.314	157.010	0.967
11507421	252.066	9.997	242.069	0.960
11600956	179.008	4.977	174.031	0.972
11727234	262.805	8.319	254.486	0.968
11876195	269.175	19.442	249.733	0.928
12242236	252.495	10.232	242.264	0.959
12304694	222.975	14.927	208.047	0.933
12310492	325.960	20.964	304.996	0.936
12326596	224.093	7.655	216.438	0.966
12398446	191.130	7.411	183.719	0.961
12398447	201.507	8.349	193.158	0.959
12426239	183.821	11.882	171.939	0.935
12491596	187.056	4.882	182.174	0.974
12553720	252.490	10.263	242.227	0.959
12582098	248.662	13.585	235.077	0.945
12669351	262.309	12.414	249.896	0.953
12689827	214.440	10.626	203.814	0.950
12693379	204.179	9.152	195.027	0.955
12731045	217.893	10.709	207.185	0.951
12731046	217.864	10.864	207.000	0.950
12732963	144.649	4.177	140.472	0.971
12900885	257.471	22.274	235.197	0.913
13031970	131.282	6.904	124.378	0.947
13045738	238.225	10.847	227.378	0.954
13807896	265.654	14.659	250.995	0.945
13846689	271.435	15.362	256.073	0.943
14299523	237.159	12.838	224.321	0.946
14349486	258.541	10.902	247.639	0.958
14427423	341.941	22.707	319.233	0.934
14565843	234.856	15.002	219.854	0.936
15262172	229.610	7.476	222.135	0.967
15725797	259.202	12.756	246.446	0.951
15725803	236.466	9.685	226.781	0.959
15731437	251.813	10.900	240.913	0.957
20083560	218.803	9.562	209.242	0.956
20315194	261.808	14.154	247.654	0.946
20596579	163.685	8.524	155.161	0.948
20976640	215.105	8.263	206.842	0.962
21465661	183.518	13.811	169.708	0.925
21487628	294.656	18.685	275.971	0.937
21600238	179.534	7.461	172.073	0.958
21611827	240.712	11.103	229.610	0.954
21722188	392.713	25.869	366.844	0.934
21928631	178.944	4.861	174.084	0.973
21932272	249.757	12.396	237.361	0.950
22096539	115.317	2.947	112.371	0.974
23581946	440.660	38.505	402.156	0.913
24725590	234.087	13.990	220.097	0.940
24725591	220.082	9.685	210.397	0.956
24726168	223.457	11.271	212.186	0.950
25056407	392.802	23.551	369.251	0.940
42607887	239.068	10.960	228.108	0.954
44587010	224.120	10.441	213.679	0.953
45382232	222.698	8.072	214.627	0.964
49852346	457.075	39.481	417.594	0.914
49852436	448.596	39.985	408.611	0.911
53297394	306.505	17.815	288.689	0.942
53377390	413.156	29.323	383.833	0.929
53395455	165.757	5.151	160.607	0.969
53628457	349.156	16.849	332.306	0.952
53694162	222.282	17.907	204.375	0.919
54005809	216.722	13.470	203.252	0.938
54076935	265.687	13.596	252.091	0.949
54105512	188.049	6.721	181.328	0.964
54139758	249.089	20.776	228.313	0.917
54182336	171.136	5.557	165.578	0.968
54484293	261.560	12.733	248.827	0.951
54675769	581.311	47.315	533.996	0.919
54679630	147.753	4.428	143.325	0.970
55273731	166.223	8.437	157.786	0.949
55275176	176.263	8.954	167.309	0.949
56629747	215.901	9.475	206.426	0.956
66777173	236.351	9.522	226.829	0.960
66856475	267.673	17.532	250.142	0.935
67042231	227.661	10.085	217.576	0.956
68146761	244.383	12.646	231.737	0.948
68702973	212.261	13.930	198.330	0.934
70884183	464.660	53.003	411.656	0.886
71339444	181.271	10.233	171.038	0.944
72218722	245.481	8.752	236.729	0.964
85773370	210.571	9.384	201.187	0.955
90120509	240.750	19.788	220.963	0.918
90657995	259.214	13.106	246.108	0.949
91747288	237.086	17.587	219.499	0.926
91749226	210.753	12.128	198.625	0.942
101763507	861.080	64.348	796.732	0.925
102334912	176.166	9.957	166.209	0.943
119087140	193.136	6.261	186.875	0.968
122707150	426.006	34.209	391.798	0.920
123866419	202.671	7.495	195.175	0.963
129320322	388.614	24.699	363.915	0.936
129865704	209.419	7.486	201.933	0.964
135398625	488.043	43.716	444.327	0.910
135398627	487.246	41.175	446.071	0.915
135402013	481.918	45.286	436.632	0.906
135403798	479.282	27.943	451.340	0.942
137530204	220.714	9.583	211.131	0.957
141006514	261.359	12.263	249.097	0.953
141257442	242.337	7.713	234.624	0.968
148791698	225.942	9.497	216.445	0.958
154128759	225.434	17.721	207.713	0.921
160171452	207.822	6.244	201.578	0.970
162886613	281.258	19.367	261.891	0.931
163085752	307.400	19.548	287.852	0.936
