cid	MolecularWeight	smiles	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	AtomStereoCount	BondStereoCount	NumValenceElectrons	NumHeteroatoms	MinPartialCharge	MaxPartialCharge	MinAbsPartialCharge	MaxAbsPartialCharge	HallKierAlpha	LabuteASA	NumRings	NumAmideBonds	NumBridgeheadAtoms	NumHeterocycles	NumLipinskiHBA	NumLipinskiHBD	NumSpiroAtoms	NumAliphaticRings	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	FractionCSP3	Eccentricity	Asphericity	InertialShapeFactor	NPR1	NPR2	SpherocityIndex	RadiusOfGyration	MolLogP	MolMR	HeavyAtomCount	VanDerWaalsVolume	SASA	C_O	C_O_noCOO	Al_OH	Ar_OH	methoxy	oxime	ester	Al_COO	Ar_COO	COO	COO2	ketone	ether	phenol	aldehyde	quatN	NH2	NH1	NH0	Ar_N	Ar_NH	aniline	Imine	nitrile	hdrzine	hdrzone	nitroso	N_O	nitro	azo	diazo	azide	amide	priamide	amidine	guanido	Nhpyrrole	imide	isocyan	isothiocyan	thiocyan	halogen	alkyl_halide	sulfide	SH	C_S	sulfone	sulfonamd	prisulfonamd	barbitur	urea	term_acetylene	imidazole	furan	thiophene	thiazole	oxazole	pyridine	piperdine	piperzine	morpholine	lactam	lactone	tetrazole	epoxide	unbrch_alkane	bicyclic	benzene	phos_acid	phos_ester	nitro_arom	nitro_arom_nonortho	dihydropyridine	phenol_noOrthoHbond	Al_OH_noTert	benzodiazepine	para_hydroxylation	allylic_oxid	aryl_methyl	Ndealkylation1	Ndealkylation2	alkyl_carbamate	ketone_Topliss	ArN	HOCCN	primary_alcohol	secondary_alcohol	tertiary_alcohol	coumarin	thiophenol	hydroxyamino
107126	212.28	CCCCCC1C(CCC1=O)CC(=O)O	54.4	235	0	1	3	6	15	2	0	86	3	-0.4812225286702776	0.30314686430012683	0.30314686430012683	0.4812225286702776	-0.8600000000000001	119.05114134642997	1	0	0	0	3	1	0	1	1	0	0	0	0	1	0	1	0.8333333333333334	0.9116721346209197	0.22876715782256474	0.0010607823226633504	0.4109183847867305	0.7236794424097138	0.26974303802558797	2.889092739290336	2.6367000000000003	57.615800000000036	15	215.13600000000005	313.9864830693435	2	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
10742	198.17	COC1=CC(=CC(=C1O)OC)C(=O)O	76.0	191	0	2	5	3	14	0	0	76	5	-0.5016991600387263	0.3354625621767431	0.3354625621767431	0.5016991600387263	-1.9100000000000001	94.72635504406892	1	0	0	0	5	2	0	0	0	0	1	1	0	0	0	0	0.2222222222222222	0.8789570540585322	0.2487616205046907	0.0007241527717426169	0.4769009300900412	0.5273018588728896	0.03809024612409351	2.77864435078997	1.1076	48.17010000000002	14	171.35200000000003	234.86867713623084	1	0	0	1	2	0	0	0	1	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0
10748	176.17	COC1=CC2=C(C=C1)C=CC(=O)O2	35.5	234	0	0	3	1	13	0	0	66	3	-0.4966236152545836	0.3356925213728631	0.3356925213728631	0.4966236152545836	-1.77	85.79765792053094	2	0	0	1	3	0	0	0	0	0	2	1	1	0	0	0	0.1	0.9744417728323225	0.47705362195850204	0.0028179336356427705	0.2246402264942783	0.7781568262432911	0.02721460755449952	2.643386607600509	1.8015999999999996	49.036000000000016	13	151.93600000000004	202.85513932441484	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	1	0	0
107670	614.9	CC(CCC(=O)NCCC[N+](C)(C)CCCS(=O)(=O)[O-])C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C	155.0	1030	0	4	7	11	42	11	0	244	10	-0.7479410459226614	0.21950824114999942	0.21950824114999942	0.7479410459226614	-0.7800000000000002	335.5280150834412	4	1	0	0	9	4	0	4	4	0	0	0	0	4	0	4	0.96875	0.9928746699583865	0.6873651176462126	0.0003171205359272912	0.11916329029959319	0.9667114221316583	0.18145341287262612	6.587117268224386	2.882100000000004	161.05169999999976	42	589.3360000000001	746.3620429333979	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0
107905	442.4	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O	177.0	649	0	7	10	4	32	2	0	166	10	-0.5076790312068092	0.33833915630728656	0.33833915630728656	0.5076790312068092	-4.47	205.84393847002318	4	0	0	1	10	7	0	1	0	1	3	3	0	0	0	0	0.13636363636363635	0.9505682060510173	0.33823963128299245	0.0003118053944113097	0.31051583799373367	0.8158312166604398	0.2404395729310531	4.500106246412705	2.5276000000000027	107.25609999999999	32	362.4000000000001	472.81278657574677	1	1	0	7	0	0	1	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0
10796995	156.15	COC1=C(C(=CC=C1)OC)F	18.5	107	0	0	3	2	11	0	0	60	3	-0.4935341805474733	0.20627375491205382	0.20627375491205382	0.4935341805474733	-1.2500000000000002	77.19864771174045	1	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0.25	0.9709331888504706	0.4526253396498019	0.0035793457041048506	0.23935066907919078	0.7678872002746792	0.05302773696200641	2.400129382411996	1.8429	39.50400000000002	11	139.15200000000004	195.516886370005	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0
107985	360.4	CC(C)C12C(O1)C3C4(O3)C5(CCC6=C(C5CC7C4(C2O)O7)COC6=O)C	84.1	819	0	1	6	1	26	9	0	140	6	-0.45776939554486656	0.333915481024387	0.333915481024387	0.45776939554486656	-0.95	185.1586291268982	7	0	0	4	6	1	2	7	3	4	0	0	0	2	3	5	0.85	0.9834416949010224	0.5556775339846921	0.0011722886483668874	0.18122481267807833	0.9419321706365048	0.30348932542859663	3.613797013308307	1.1030999999999997	87.08980000000004	26	316.8160000000001	421.76882054723745	1	1	1	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	24	54	0	0	0
10819	152.23	CC(=C)C1CCC(=CC1)CO	20.2	179	0	1	1	2	11	1	0	62	1	-0.3920242079345031	0.21051229360617127	0.21051229360617127	0.3920242079345031	-0.56	90.99912485250947	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0.6	0.9821519921821346	0.5396524583670678	0.004864473078183958	0.18808897961513912	0.9043691027729509	0.22926717348989764	2.6063129259601996	2.2813000000000003	47.32380000000003	11	163.59200000000004	245.97921438375542	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	3	0	0	0	0
108507	168.28	CC(=CCCC(C)(C=C)OC)C	9.2	166	0	0	1	5	12	1	0	70	1	-0.3744528510856248	0.08305228574651043	0.08305228574651043	0.3744528510856248	-0.56	104.22242134029017	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.6363636363636364	0.9724580713289	0.45808478884769693	0.0029493092302282247	0.23307788292173082	0.8945107307575958	0.2519367537040727	2.8681025081116087	3.323900000000002	54.27600000000004	12	190.63200000000003	285.11401745809957	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	6	9	0	0	0
10922465	234.33	CC1CCC(C2C1CCC(=C2)C)C(=C)C(=O)O	37.3	367	0	1	2	2	17	4	0	94	2	-0.47788143916002357	0.33076090294848404	0.33076090294848404	0.47788143916002357	-1.05	134.40934937201393	2	0	0	0	2	1	0	2	2	0	0	0	0	1	0	1	0.6666666666666666	0.872657644224407	0.15405841567660197	0.0010599377430398254	0.4883325055499668	0.7750504083360495	0.4478981420961411	2.689110892269758	3.645800000000002	68.63480000000004	17	236.96000000000006	337.53207303019457	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
