acceptor	enzyme	reaction
Umbelliferone	VVGT1	1
4-Methyl-umbelliferone	At_71C1	0
4-Methyl-umbelliferone	At_71C2	0.5
4-Methyl-umbelliferone	At_71C3	0
4-Methyl-umbelliferone	At_71C4	0
4-Methyl-umbelliferone	At_71C5	1
4-Methyl-umbelliferone	At_71B8	0
4-Methyl-umbelliferone	At_71B6	0.5
4-Methyl-umbelliferone	At_71B5	0
4-Methyl-umbelliferone	At_71B1	1
4-Methyl-umbelliferone	At_88A1	1
4-Methyl-umbelliferone	At_72E2	0
4-Methyl-umbelliferone	At_72E3	0
4-Methyl-umbelliferone	At_72E1	0
4-Methyl-umbelliferone	At_72D1	1
4-Methyl-umbelliferone	At_72C1	0
4-Methyl-umbelliferone	At_72B3	1
4-Methyl-umbelliferone	At_72B1	1
4-Methyl-umbelliferone	At_73C3	1
4-Methyl-umbelliferone	At_73C4	0
4-Methyl-umbelliferone	At_73C5	1
4-Methyl-umbelliferone	At_73C6	1
4-Methyl-umbelliferone	At_73C1	1
4-Methyl-umbelliferone	At_73C7	0
4-Methyl-umbelliferone	At_73B2	0
4-Methyl-umbelliferone	At_73B3	1
4-Methyl-umbelliferone	At_73B4	1
4-Methyl-umbelliferone	At_73B5	0
4-Methyl-umbelliferone	At_73B1	1
4-Methyl-umbelliferone	At_89B1	0
4-Methyl-umbelliferone	At_89C1	0
4-Methyl-umbelliferone	At_84A3	1
4-Methyl-umbelliferone	At_84A4	0
4-Methyl-umbelliferone	At_84A2	1
4-Methyl-umbelliferone	At_84A1	1
4-Methyl-umbelliferone	At_84B1	1
4-Methyl-umbelliferone	At_84B2	0
4-Methyl-umbelliferone	At_75B1	1
4-Methyl-umbelliferone	At_75D1	0
4-Methyl-umbelliferone	At_74F1	0
4-Methyl-umbelliferone	At_74F2	1
4-Methyl-umbelliferone	At_74B1	0.5
4-Methyl-umbelliferone	At_76E5	0
4-Methyl-umbelliferone	At_76E4	0
4-Methyl-umbelliferone	At_76E1	0
4-Methyl-umbelliferone	At_76E2	0.5
4-Methyl-umbelliferone	At_76E12	1
4-Methyl-umbelliferone	At_76E11	1
4-Methyl-umbelliferone	At_76C4	0
4-Methyl-umbelliferone	At_85A5	0
4-Methyl-umbelliferone	At_85A4	0
4-Methyl-umbelliferone	At_78D2	1
4-Methyl-umbelliferone	At_78D1	0
4-Methyl-umbelliferone	VVGT1	1
Sinapic acid	At_71C1	1
Sinapic acid	At_71C2	1
Sinapic acid	At_71C3	0
Sinapic acid	At_71C4	0
Sinapic acid	At_71C5	0
Sinapic acid	At_71B8	0
Sinapic acid	At_71B6	0
Sinapic acid	At_71B5	0
Sinapic acid	At_71B1	0
Sinapic acid	At_88A1	0
Sinapic acid	At_72E2	1
Sinapic acid	At_72E3	1
Sinapic acid	At_72E1	0
Sinapic acid	At_72D1	0
Sinapic acid	At_72C1	0
Sinapic acid	At_72B3	0
Sinapic acid	At_72B1	0
Sinapic acid	At_73C3	0
Sinapic acid	At_73C4	0
Sinapic acid	At_73C5	0
Sinapic acid	At_73C6	0
Sinapic acid	At_73C1	0
Sinapic acid	At_73C7	0
Sinapic acid	At_73B2	0
Sinapic acid	At_73B3	1
Sinapic acid	At_73B4	0
Sinapic acid	At_73B5	0
Sinapic acid	At_73B1	1
Sinapic acid	At_89B1	0
Sinapic acid	At_89C1	0
Sinapic acid	At_84A3	1
Sinapic acid	At_84A4	1
Sinapic acid	At_84A2	1
Sinapic acid	At_84A1	1
Sinapic acid	At_84B1	1
Sinapic acid	At_84B2	0.5
Sinapic acid	At_75B1	1
Sinapic acid	At_75D1	0
Sinapic acid	At_74F1	0
Sinapic acid	At_74F2	0
Sinapic acid	At_74B1	0
Sinapic acid	At_76E5	0
Sinapic acid	At_76E4	0
Sinapic acid	At_76E1	0
Sinapic acid	At_76E2	0
Sinapic acid	At_76E12	0
Sinapic acid	At_76E11	0
Sinapic acid	At_76C4	0
Sinapic acid	At_85A5	0
Sinapic acid	At_85A4	0
Sinapic acid	At_78D2	0.5
Sinapic acid	At_78D1	0
Sinapic acid	VVGT1	0
4-hydroxyl-benzoic acid	At_71C1	0
4-hydroxyl-benzoic acid	At_71C2	0
4-hydroxyl-benzoic acid	At_71C3	1
4-hydroxyl-benzoic acid	At_71C4	1
4-hydroxyl-benzoic acid	At_71C5	0
4-hydroxyl-benzoic acid	At_71B8	0
4-hydroxyl-benzoic acid	At_71B6	0.5
4-hydroxyl-benzoic acid	At_71B5	0
4-hydroxyl-benzoic acid	At_71B1	1
4-hydroxyl-benzoic acid	At_88A1	0.5
4-hydroxyl-benzoic acid	At_72E2	0
4-hydroxyl-benzoic acid	At_72E3	0
4-hydroxyl-benzoic acid	At_72E1	0
4-hydroxyl-benzoic acid	At_72D1	0.5
4-hydroxyl-benzoic acid	At_72C1	0
4-hydroxyl-benzoic acid	At_72B3	0
4-hydroxyl-benzoic acid	At_72B1	0
4-hydroxyl-benzoic acid	At_73C3	0
4-hydroxyl-benzoic acid	At_73C4	0
4-hydroxyl-benzoic acid	At_73C5	0
4-hydroxyl-benzoic acid	At_73C6	0
4-hydroxyl-benzoic acid	At_73C1	0
4-hydroxyl-benzoic acid	At_73C7	0
4-hydroxyl-benzoic acid	At_73B2	0
4-hydroxyl-benzoic acid	At_73B3	1
4-hydroxyl-benzoic acid	At_73B4	1
4-hydroxyl-benzoic acid	At_73B5	0
4-hydroxyl-benzoic acid	At_73B1	0
4-hydroxyl-benzoic acid	At_89B1	1
4-hydroxyl-benzoic acid	At_89C1	0
4-hydroxyl-benzoic acid	At_84A3	0
4-hydroxyl-benzoic acid	At_84A4	1
4-hydroxyl-benzoic acid	At_84A2	1
4-hydroxyl-benzoic acid	At_84A1	1
4-hydroxyl-benzoic acid	At_84B1	0
4-hydroxyl-benzoic acid	At_84B2	0
