cid	enzyme	reaction	nMetabInESP	pred_ESP
65126	Nt_UGT1	0	0	0.022003515
65126	Pt_UGT1	0	0	0.04620045
65126	At_72B1	0	0	0.05032006
65126	At_72E2	0	0	0.033765927
65126	Mt_71G1	0	0	0.10690871
65126	Mt_78G1	0	0	0.029527767
289	UGT71L2	1	15	0.2064295
122724	TwUGT2	0	0	0.011923631
5281607	ApUFGT1	1	0	0.102570504
5281607	ApUFGT2	1	0	0.0072328867
5281607	ApUFGT3	1	0	0.05006803
444539	Fe_88J1	0	11	0.11003688
444539	Zm_15991	0	11	0.10714977
444539	Fe_72B19	0	11	0.12932447
444539	Ct_71E5	0	11	0.061036132
444539	Zm_51683	0	11	0.10307606
444539	Os_88C1	0	11	0.1154392
444539	Zm_43295	0	11	0.42715725
444539	Dc_71F5	0	11	0.42889106
444539	Rc_GT1	0	11	0.18712969
444539	Sl_GT5	0	11	0.22409889
444539	Fi_88A10	0	11	0.1424709
444539	At_71D1	0	11	0.40061677
444539	At_71C1	0	11	0.16609655
444539	Zm_62783	0	11	0.1256521
444539	Zm_85854	0	11	0.23713519
444539	Gm_88E3	0	11	0.122455865
444539	Zm_72068	0	11	0.1836813
444539	Lc_72B10	0	11	0.18933028
5315892	Fe_88J1	0	16	0.14039695
5315892	Zm_15991	0	16	0.0727212
5315892	Fe_72B19	0	16	0.16669732
5315892	Ct_71E5	0	16	0.10501422
5315892	Zm_51683	0	16	0.15179504
5315892	Os_88C1	0	16	0.10583303
5315892	Zm_43295	0	16	0.23673831
5315892	Dc_71F5	0	16	0.27607483
5315892	Rc_GT1	0	16	0.24036446
5315892	Sl_GT5	0	16	0.1905309
5315892	Fi_88A10	0	16	0.123446465
5315892	At_71D1	0	16	0.28497615
5315892	At_71C1	0	16	0.18852893
5315892	Zm_62783	0	16	0.07722859
5315892	Zm_85854	0	16	0.10899084
5315892	Gm_88E3	0	16	0.1078245
5315892	Zm_72068	0	16	0.17920856
5315892	Lc_72B10	0	16	0.2029859
444539	Nt_UGT1	0	11	0.092105746
444539	Pt_UGT1	0	11	0.12414819
444539	At_72B1	0	11	0.14590783
444539	At_72E2	0	11	0.21427606
444539	Mt_71G1	0	11	0.20926628
444539	Mt_78G1	0	11	0.05114982
5315892	Nt_UGT1	0	16	0.14433119
5315892	Pt_UGT1	0	16	0.20913704
5315892	At_72B1	0	16	0.3209183
5315892	At_72E2	0	16	0.1607598
5315892	Mt_71G1	0	16	0.2813073
5315892	Mt_78G1	0	16	0.1798263
5315892	UGT71L2	0	16	0.27271095
1549095	Fe_88J1	0	6	0.2548886
1549095	Zm_15991	0	6	0.13302326
1549095	Fe_72B19	0	6	0.6722371
1549095	Ct_71E5	0	6	0.31362286
1549095	Zm_51683	0	6	0.29748714
1549095	Os_88C1	0	6	0.21827298
1549095	Zm_43295	0	6	0.52812076
1549095	Dc_71F5	0	6	0.33342025
1549095	Rc_GT1	0	6	0.39439407
1549095	Sl_GT5	0	6	0.5268609
1549095	Fi_88A10	0	6	0.42137352
1549095	At_71D1	0	6	0.40220508
1549095	At_71C1	0	6	0.2150271
1549095	Zm_62783	0	6	0.18416846
1549095	Zm_85854	0	6	0.30163604
1549095	Gm_88E3	0	6	0.2884454
1549095	Zm_72068	0	6	0.34026158
1549095	Lc_72B10	0	6	0.24786189
1549095	Nt_UGT1	0	6	0.33171412
1549095	Pt_UGT1	0	6	0.47405028
1549095	At_72B1	0	6	0.6625962
1549095	At_72E2	1	6	0.54929304
1549095	Mt_71G1	0	6	0.28329664
1549095	Mt_78G1	0	6	0.3123403
25056407	Nt_UGT1	0	0	0.015027863
25056407	Pt_UGT1	0	0	0.015940845
25056407	At_72B1	0	0	0.03822125
25056407	At_72E2	0	0	0.09361484
25056407	Mt_71G1	0	0	0.008688191
5280535	Nt_UGT1	0	0	0.08007043
5280535	Pt_UGT1	0	0	0.1068464
5280535	At_72B1	0	0	0.12959595
5280535	At_72E2	0	0	0.11299657
5280535	Mt_71G1	0	0	0.1475612
5280535	Mt_78G1	0	0	0.12347311
128861	Fe_88J1	0	2	0.023385251
128861	Zm_15991	0	2	0.016470516
128861	Fe_72B19	0	2	0.042062916
128861	Ct_71E5	0	2	0.022390852
128861	Zm_51683	0	2	0.03966366
128861	Os_88C1	0	2	0.018445197
128861	Zm_43295	0	2	0.4268493
128861	Dc_71F5	0	2	0.11824707
128861	Rc_GT1	1	2	0.046432644
128861	Sl_GT5	0	2	0.048458405
128861	Fi_88A10	0	2	0.077315114
128861	At_71D1	0	2	0.11350304
128861	At_71C1	0	2	0.023496648
128861	Zm_62783	0	2	0.039337385
128861	Zm_85854	0	2	0.047359947
128861	Gm_88E3	0	2	0.033060376
128861	Zm_72068	0	2	0.0689589
128861	Lc_72B10	0	2	0.01916081
128861	Nt_UGT1	0	2	0.017989166
128861	At_72B1	0	2	0.02428035
128861	At_72E2	0	2	0.036214586
128861	Mt_78G1	0	2	0.029463334
7257	Fe_88J1	0	0	0.06879208
7257	Zm_15991	0	0	0.1697341
7257	Fe_72B19	1	0	0.021815313
7257	Ct_71E5	0	0	0.029148191
7257	Zm_51683	1	0	0.07179935
7257	Os_88C1	0	0	0.06615912
7257	Zm_43295	0	0	0.22808054
7257	Dc_71F5	1	0	0.13044263
7257	Rc_GT1	0	0	0.114616506
7257	Sl_GT5	0	0	0.15977149
7257	Fi_88A10	1	0	0.08085921
7257	At_71D1	0	0	0.28444332
7257	At_71C1	0	0	0.09587425
7257	Zm_62783	0	0	0.19534394
7257	Zm_85854	0	0	0.103153564
7257	Gm_88E3	0	0	0.07672853
7257	Lc_72B10	1	0	0.24001193
7257	Nt_UGT1	1	0	0.091903806
7257	Pt_UGT1	1	0	0.13264836
7257	At_72B1	1	0	0.03104797
7257	At_72E2	1	0	0.08883629
7257	At_72E2	0	0	0.08883629
7257	Mt_71G1	0	0	0.15376408
7257	Mt_78G1	0	0	0.3377641
79964	Fe_88J1	0	0	0.16089009
79964	Zm_15991	1	0	0.20514454
79964	Fe_72B19	1	0	0.022417497
79964	Ct_71E5	1	0	0.07303029
79964	Zm_51683	1	0	0.07285811
79964	Os_88C1	1	0	0.14417402
79964	Zm_43295	1	0	0.31520152
79964	Dc_71F5	1	0	0.24060865
79964	Sl_GT5	0	0	0.20103776
79964	Fi_88A10	1	0	0.12054
79964	At_71D1	0	0	0.47854617
79964	At_71C1	0	0	0.16578124
79964	Zm_62783	1	0	0.13086829
79964	Zm_85854	1	0	0.07656409
79964	Gm_88E3	1	0	0.101416975
79964	Zm_72068	1	0	0.0456232
79964	Lc_72B10	1	0	0.3920726
5281708	TwUGT2	0	0	0.030866994
5281708	ApUFGT1	1	0	0.05456029
5281708	ApUFGT2	1	0	0.019033963
5281708	ApUFGT3	1	0	0.027737286
5379033	Nt_UGT1	0	0	0.21038537
5379033	Pt_UGT1	0	0	0.052614488
5379033	At_72B1	0	0	0.2956901
5379033	At_72E2	0	0	0.14504562
5379033	Mt_78G1	0	0	0.28925902
11782	Fe_88J1	0	0	0.17227112
11782	Zm_15991	0	0	0.13123585
11782	Fe_72B19	0	0	0.15449823
11782	Ct_71E5	0	0	0.3568434
11782	Zm_51683	0	0	0.24586827
11782	Os_88C1	0	0	0.2859865
11782	Zm_43295	0	0	0.51981276
11782	Dc_71F5	0	0	0.8048948
11782	Rc_GT1	0	0	0.26200354
11782	Sl_GT5	0	0	0.6818667
11782	Fi_88A10	0	0	0.2577036
11782	At_71D1	0	0	0.64711696
11782	At_71C1	0	0	0.2938514
11782	Zm_62783	0	0	0.17767261
