acceptor	enzyme	reaction
()- cis, trans Abscisic acid	At_73C4	0
()- cis, trans Abscisic acid	At_78D1	0
()- cis, trans Abscisic acid	At_76E5	0
()- cis, trans Abscisic acid	At_73C7	0
()- cis, trans Abscisic acid	At_73B2	0
()- cis, trans Abscisic acid	At_76C4	0
()- cis, trans Abscisic acid	At_72E1	0
()- cis, trans Abscisic acid	At_89C1	0
()- cis, trans Abscisic acid	At_85A5	0
()- cis, trans Abscisic acid	At_85A4	0
()- cis, trans Abscisic acid	At_71B8	0
()- cis, trans Abscisic acid	At_76E4	0
()- cis, trans Abscisic acid	At_76E2	0
()- cis, trans Abscisic acid	At_76E1	0
()- cis, trans Abscisic acid	At_71C5	0
()- cis, trans Abscisic acid	At_72B3	0
()- cis, trans Abscisic acid	At_76E11	0
()- cis, trans Abscisic acid	At_75D1	0
()- cis, trans Abscisic acid	At_72C1	0
()- cis, trans Abscisic acid	At_72B1	0
()- cis, trans Abscisic acid	At_84B2	1
()- cis, trans Abscisic acid	At_71C1	0
()- cis, trans Abscisic acid	At_71C2	0
()- cis, trans Abscisic acid	At_89B1	0
()- cis, trans Abscisic acid	At_74F1	0
()- cis, trans Abscisic acid	At_72E2	0
()- cis, trans Abscisic acid	At_72E3	0
()- cis, trans Abscisic acid	At_71C3	0
()- cis, trans Abscisic acid	At_71C4	0
()- cis, trans Abscisic acid	At_71B1	0
()- cis, trans Abscisic acid	At_73B3	0
()- cis, trans Abscisic acid	At_78D2	0
()- cis, trans Abscisic acid	At_71B6	1
()- cis, trans Abscisic acid	At_73B1	1
()- cis, trans Abscisic acid	At_71B5	0
()- cis, trans Abscisic acid	At_88A1	0
()- cis, trans Abscisic acid	At_73C3	0
()- cis, trans Abscisic acid	At_73B5	0
()- cis, trans Abscisic acid	At_76E12	0
()- cis, trans Abscisic acid	VVGT1	0
()- cis, trans Abscisic acid	At_72D1	0
()- cis, trans Abscisic acid	At_74B1	0
()- cis, trans Abscisic acid	At_73C5	0
()- cis, trans Abscisic acid	At_73C6	0
()- cis, trans Abscisic acid	At_73C1	0
()- cis, trans Abscisic acid	At_73B4	0
()- cis, trans Abscisic acid	At_74F2	0
()- cis, trans Abscisic acid	At_84A3	0
()- cis, trans Abscisic acid	At_84A4	0
()- cis, trans Abscisic acid	At_84B1	1
()- cis, trans Abscisic acid	At_84A2	1
()- cis, trans Abscisic acid	At_84A1	1
()- cis, trans Abscisic acid	At_75B1	1
()-Jasmonic acid	At_73C4	0
()-Jasmonic acid	At_78D1	0
()-Jasmonic acid	At_76E5	0
()-Jasmonic acid	At_73C7	0
()-Jasmonic acid	At_73B2	0
()-Jasmonic acid	At_76C4	0
()-Jasmonic acid	At_72E1	0
()-Jasmonic acid	At_89C1	0
()-Jasmonic acid	At_85A5	0
()-Jasmonic acid	At_85A4	0
()-Jasmonic acid	At_71B8	0
()-Jasmonic acid	At_76E4	0
()-Jasmonic acid	At_76E2	0
()-Jasmonic acid	At_76E1	0
()-Jasmonic acid	At_71C5	0
()-Jasmonic acid	At_72B3	0
()-Jasmonic acid	At_76E11	0
()-Jasmonic acid	At_75D1	0
()-Jasmonic acid	At_72C1	0
()-Jasmonic acid	At_72B1	0
()-Jasmonic acid	At_84B2	0
()-Jasmonic acid	At_71C1	0
()-Jasmonic acid	At_71C2	0
()-Jasmonic acid	At_89B1	0
()-Jasmonic acid	At_74F1	0
()-Jasmonic acid	At_72E2	0
()-Jasmonic acid	At_72E3	0
()-Jasmonic acid	At_71C3	0
()-Jasmonic acid	At_71C4	0
()-Jasmonic acid	At_71B1	0
()-Jasmonic acid	At_73B3	0
()-Jasmonic acid	At_78D2	0
()-Jasmonic acid	At_71B6	0
()-Jasmonic acid	At_73B1	0
()-Jasmonic acid	At_71B5	0
()-Jasmonic acid	At_88A1	0
()-Jasmonic acid	At_73C3	0
()-Jasmonic acid	At_73B5	0
()-Jasmonic acid	At_76E12	0
()-Jasmonic acid	VVGT1	0
()-Jasmonic acid	At_72D1	0
()-Jasmonic acid	At_74B1	0
()-Jasmonic acid	At_73C5	0
()-Jasmonic acid	At_73C6	0
()-Jasmonic acid	At_73C1	0
()-Jasmonic acid	At_73B4	0
()-Jasmonic acid	At_74F2	0
()-Jasmonic acid	At_84A3	0
()-Jasmonic acid	At_84A4	0
()-Jasmonic acid	At_84B1	0
()-Jasmonic acid	At_84A2	1
()-Jasmonic acid	At_84A1	1
()-Jasmonic acid	At_75B1	1
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_73C4	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_78D1	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_73B2	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_72E1	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_89C1	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_85A5	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_85A4	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_71B8	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_76E4	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_76E2	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_76E1	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_71C5	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_72B3	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_76E11	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_75D1	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_72C1	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_84B2	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_71C1	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_71C2	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_89B1	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_74F1	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_72E2	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_72E3	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_71C3	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_71C4	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_71B1	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_73B3	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_78D2	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_71B6	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_73B1	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_71B5	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_88A1	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_73C3	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_73B5	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_76E12	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	VVGT1	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_72D1	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_74B1	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_73C5	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_73C6	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_73C1	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_73B4	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_74F2	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_84A3	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_84A4	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_84B1	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_84A2	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_84A1	0
1-Thio-S-cyanomethyl-N-acetyl-D-glucosamine	At_75B1	0
2,5-dihydroxylbenzoic acid	At_73C4	0
2,5-dihydroxylbenzoic acid	At_78D1	0
