enzyme	source	reaction	cid
At_71B1	GT-Predict	0	980
At_72E2	GT-Predict	0	980
At_72D1	GT-Predict	0	980
At_72C1	GT-Predict	0	980
At_72B3	GT-Predict	0	980
At_73C4	GT-Predict	0	980
At_73C1	GT-Predict	0	980
At_73B2	GT-Predict	0	980
At_73B3	GT-Predict	0	980
At_73B4	GT-Predict	0	980
At_73B5	GT-Predict	0	980
At_73B1	GT-Predict	0	980
At_89B1	GT-Predict	0	980
At_75B1	GT-Predict	0	980
At_75D1	GT-Predict	0	980
At_74F1	GT-Predict	0	980
At_74F2	GT-Predict	0	980
At_74B1	GT-Predict	0	980
At_76E1	GT-Predict	0	980
At_76E2	GT-Predict	0	980
At_76E12	GT-Predict	0	980
At_76E11	GT-Predict	0	980
At_85A4	GT-Predict	0	980
At_78D2	GT-Predict	0	980
UGT85K14	https://doi.org/10.1093/jxb/erv335	0	980
UGT74B1	""	1	4684
At_71C1	GT-Predict	0	7815
At_71C3	GT-Predict	0	7815
At_71C4	GT-Predict	0	7815
At_71C5	GT-Predict	0	7815
At_71B8	GT-Predict	0	7815
At_71B6	GT-Predict	0	7815
At_71B1	GT-Predict	0	7815
At_88A1	GT-Predict	1	7815
At_72E2	GT-Predict	0	7815
At_72D1	GT-Predict	0	7815
At_72C1	GT-Predict	0	7815
At_72B3	GT-Predict	0	7815
At_73C4	GT-Predict	0	7815
At_73B2	GT-Predict	0	7815
At_73B3	GT-Predict	0	7815
At_73B4	GT-Predict	0	7815
At_73B5	GT-Predict	0	7815
At_73B1	GT-Predict	1	7815
At_89B1	GT-Predict	0	7815
At_75B1	GT-Predict	0	7815
At_75D1	GT-Predict	0	7815
At_74F1	GT-Predict	1	7815
At_74B1	GT-Predict	1	7815
At_76E1	GT-Predict	0	7815
At_76E2	GT-Predict	0	7815
At_76E12	GT-Predict	0	7815
At_85A4	GT-Predict	0	7815
At_78D2	GT-Predict	0	7815
UGT74B1	""	1	7815
UGT85K14	https://doi.org/10.1093/jxb/erv335	0	637542
At_71C1	GT-Predict	0	445858
At_71C2	GT-Predict	0	445858
At_71C3	GT-Predict	0	445858
At_71C4	GT-Predict	0	445858
At_71C5	GT-Predict	0	445858
At_71B8	GT-Predict	0	445858
At_71B6	GT-Predict	0	445858
At_71B5	GT-Predict	0	445858
At_71B1	GT-Predict	0	445858
At_88A1	GT-Predict	0	445858
At_72E2	GT-Predict	1	445858
At_72E3	GT-Predict	1	445858
At_72E1	GT-Predict	0	445858
At_72D1	GT-Predict	0	445858
At_72C1	GT-Predict	0	445858
At_72B3	GT-Predict	0	445858
At_72B1	GT-Predict	0	445858
At_73C3	GT-Predict	0	445858
At_73C4	GT-Predict	0	445858
At_73C5	GT-Predict	0	445858
At_73C6	GT-Predict	0	445858
At_73C1	GT-Predict	0	445858
At_73C7	GT-Predict	0	445858
At_73B2	GT-Predict	0	445858
At_73B3	GT-Predict	1	445858
At_73B4	GT-Predict	0	445858
At_73B1	GT-Predict	0	445858
At_89B1	GT-Predict	0	445858
At_84A3	GT-Predict	1	445858
At_84A4	GT-Predict	1	445858
At_84A2	GT-Predict	1	445858
At_84A1	GT-Predict	1	445858
At_84B1	GT-Predict	1	445858
At_84B2	GT-Predict	0	445858
At_75B1	GT-Predict	1	445858
At_74F1	GT-Predict	0	445858
At_74F2	GT-Predict	0	445858
At_74B1	GT-Predict	0	445858
At_76E5	GT-Predict	0	445858
At_76E4	GT-Predict	0	445858
At_76E1	GT-Predict	0	445858
At_76E2	GT-Predict	0	445858
At_76E12	GT-Predict	0	445858
At_76E11	GT-Predict	0	445858
At_76C4	GT-Predict	0	445858
At_85A5	GT-Predict	0	445858
At_85A4	GT-Predict	0	445858
At_78D2	GT-Predict	0	445858
At_78D1	GT-Predict	0	445858
VVGT1	GT-Predict	0	445858
UGT71G1	GT-Predict extensions	0	445858
UGT78G1	GT-Predict extensions	0	445858
UGT72B10	GT-Predict extensions	0	445858
UGT74P1	GT-Predict extensions	0	445858
UGT73A10	GT-Predict extensions	1	445858
UGT74N1	GT-Predict extensions	0	445858
UGT75L2	GT-Predict extensions	1	445858
UGT85A20	GT-Predict extensions	0	445858
UGT73Q1	GT-Predict extensions	0	445858
UGT73A12	GT-Predict extensions	0	445858
UGT86A5	GT-Predict extensions	0	445858
UGT94E2	GT-Predict extensions	0	445858
UGT84C2	GT-Predict extensions	1	445858
UGT85B2	GT-Predict extensions	0	445858
UGT74H5	GT-Predict extensions	0	445858
UGT88C4	GT-Predict extensions	0	445858
UGT74H6	GT-Predict extensions	0	445858
UGT75E3	GT-Predict extensions	1	445858
At_71C1	GT-Predict	1	637542
At_71C2	GT-Predict	1	637542
At_71C3	GT-Predict	0	637542
At_71C4	GT-Predict	0	637542
At_71C5	GT-Predict	0	637542
At_71B8	GT-Predict	0	637542
At_71B6	GT-Predict	0	637542
At_71B5	GT-Predict	0	637542
At_71B1	GT-Predict	0	637542
At_88A1	GT-Predict	0	637542
At_72E2	GT-Predict	1	637542
At_72E1	GT-Predict	0	637542
At_72C1	GT-Predict	0	637542
At_72B3	GT-Predict	0	637542
At_72B1	GT-Predict	0	637542
At_73C3	GT-Predict	0	637542
At_73C4	GT-Predict	0	637542
At_73C5	GT-Predict	0	637542
At_73C6	GT-Predict	0	637542
At_73C1	GT-Predict	0	637542
At_73C7	GT-Predict	0	637542
At_73B2	GT-Predict	0	637542
At_73B3	GT-Predict	1	637542
At_73B4	GT-Predict	0	637542
At_73B5	GT-Predict	0	637542
At_73B1	GT-Predict	0	637542
At_89C1	GT-Predict	0	637542
At_84A3	GT-Predict	1	637542
At_84A4	GT-Predict	1	637542
At_84A2	GT-Predict	1	637542
At_84A1	GT-Predict	1	637542
At_84B1	GT-Predict	1	637542
At_84B2	GT-Predict	0	637542
At_75B1	GT-Predict	1	637542
At_74F2	GT-Predict	0	637542
At_76E5	GT-Predict	0	637542
At_76E2	GT-Predict	0	637542
At_76E12	GT-Predict	0	637542
At_76E11	GT-Predict	0	637542
At_76C4	GT-Predict	0	637542
At_85A5	GT-Predict	0	637542
At_85A4	GT-Predict	0	637542
At_78D2	GT-Predict	0	637542
At_78D1	GT-Predict	0	637542
VVGT1	GT-Predict	0	637542
UGT71G1	GT-Predict extensions	0	637542
UGT78G1	GT-Predict extensions	0	637542
UGT72B10	GT-Predict extensions	0	637542
UGT74P1	GT-Predict extensions	0	637542
UGT73A10	GT-Predict extensions	1	637542
UGT74N1	GT-Predict extensions	0	637542
UGT75L2	GT-Predict extensions	1	637542
UGT85A20	GT-Predict extensions	1	637542
UGT73Q1	GT-Predict extensions	0	637542
UGT73A12	GT-Predict extensions	1	637542
UGT86A5	GT-Predict extensions	0	637542
UGT94E2	GT-Predict extensions	0	637542
UGT84C2	GT-Predict extensions	1	637542
UGT85B2	GT-Predict extensions	0	637542
UGT74H5	GT-Predict extensions	1	637542
UGT88C4	GT-Predict extensions	0	637542
UGT74H6	GT-Predict extensions	0	637542
UGT75E3	GT-Predict extensions	1	637542
OleD	GT-Predict extensions	0	445858
OleD	GT-Predict extensions	1	135
OleD	GT-Predict extensions	1	637542
At_71C1	GT-Predict	0	135
At_71C2	GT-Predict	0	135
At_71C3	GT-Predict	1	135
At_71C4	GT-Predict	1	135
At_71C5	GT-Predict	0	135
At_71B8	GT-Predict	0	135
At_71B5	GT-Predict	0	135
At_71B1	GT-Predict	1	135
At_72E2	GT-Predict	0	135
At_72E3	GT-Predict	0	135
At_72E1	GT-Predict	0	135
At_72C1	GT-Predict	0	135
At_72B3	GT-Predict	0	135
At_72B1	GT-Predict	0	135
At_73C3	GT-Predict	0	135
At_73C4	GT-Predict	0	135
At_73C5	GT-Predict	0	135
At_73C6	GT-Predict	0	135
At_73C1	GT-Predict	0	135
At_73C7	GT-Predict	0	135
At_73B2	GT-Predict	0	135
At_73B3	GT-Predict	1	135
At_73B4	GT-Predict	1	135
At_73B5	GT-Predict	0	135
At_73B1	GT-Predict	0	135
At_89B1	GT-Predict	1	135
At_89C1	GT-Predict	0	135
At_84A3	GT-Predict	0	135
At_84A4	GT-Predict	1	135
At_84A2	GT-Predict	1	135
At_84A1	GT-Predict	1	135
At_84B1	GT-Predict	0	135
At_84B2	GT-Predict	0	135
At_75B1	GT-Predict	1	135
At_75D1	GT-Predict	0	135
At_74F2	GT-Predict	1	135
At_74B1	GT-Predict	0	135
At_76E5	GT-Predict	0	135
At_76E4	GT-Predict	0	135
At_76E1	GT-Predict	0	135
At_76E2	GT-Predict	0	135
At_76E12	GT-Predict	0	135
At_76E11	GT-Predict	0	135
At_76C4	GT-Predict	0	135
At_85A5	GT-Predict	0	135
At_85A4	GT-Predict	0	135
At_78D2	GT-Predict	1	135
At_78D1	GT-Predict	0	135
VVGT1	GT-Predict	0	135
UGT71G1	GT-Predict extensions	1	135
UGT78G1	GT-Predict extensions	0	135
UGT72B10	GT-Predict extensions	0	135
UGT74P1	GT-Predict extensions	0	135
UGT73A10	GT-Predict extensions	1	135
UGT74N1	GT-Predict extensions	0	135
UGT75L2	GT-Predict extensions	1	135
UGT85A20	GT-Predict extensions	1	135
UGT73Q1	GT-Predict extensions	0	135
UGT73A12	GT-Predict extensions	0	135
UGT86A5	GT-Predict extensions	0	135
UGT94E2	GT-Predict extensions	0	135
UGT84C2	GT-Predict extensions	0	135
UGT85B2	GT-Predict extensions	0	135
UGT74H5	GT-Predict extensions	1	135
UGT88C4	GT-Predict extensions	0	135
UGT74H6	GT-Predict extensions	0	135
UGT75E3	GT-Predict extensions	0	135
OleD	GT-Predict extensions	1	5280567
At_71C2	GT-Predict	1	5281416
At_71C3	GT-Predict	1	5281416
At_71C4	GT-Predict	1	5281416
At_71C5	GT-Predict	1	5281416
At_71B8	GT-Predict	1	5281416
At_71B1	GT-Predict	1	5281416
At_88A1	GT-Predict	1	5281416
At_72E2	GT-Predict	1	5281416
At_72E3	GT-Predict	1	5281416
At_72D1	GT-Predict	1	5281416
At_72C1	GT-Predict	1	5281416
At_72B3	GT-Predict	1	5281416
At_72B1	GT-Predict	1	5281416
At_73C3	GT-Predict	1	5281416
At_73C4	GT-Predict	0	5281416
At_73C5	GT-Predict	1	5281416
At_73C6	GT-Predict	1	5281416
At_73C1	GT-Predict	1	5281416
At_73C7	GT-Predict	1	5281416
At_73B3	GT-Predict	1	5281416
At_73B4	GT-Predict	1	5281416
At_73B5	GT-Predict	1	5281416
At_73B1	GT-Predict	1	5281416
At_89B1	GT-Predict	1	5281416
