enzyme	source	reaction	cid
UGT85A20	GT-Predict extensions	0	7257
UGT73Q1	GT-Predict extensions	0	7257
UGT73A12	GT-Predict extensions	0	7257
UGT86A5	GT-Predict extensions	0	7257
UGT94E2	GT-Predict extensions	1	7257
UGT84C2	GT-Predict extensions	0	7257
UGT85B2	GT-Predict extensions	0	7257
UGT74H5	GT-Predict extensions	0	7257
UGT88C4	GT-Predict extensions	0	7257
UGT74H6	GT-Predict extensions	0	7257
UGT75E3	GT-Predict extensions	0	7257
At_71C1	GT-Predict	1	72
At_71C3	GT-Predict	1	72
At_71C4	GT-Predict	1	72
At_71B8	GT-Predict	0	72
At_71B6	GT-Predict	0	72
At_71B5	GT-Predict	0	72
At_71B1	GT-Predict	1	72
At_88A1	GT-Predict	0	72
At_72D1	GT-Predict	1	72
At_72C1	GT-Predict	0	72
At_72B1	GT-Predict	1	72
At_73C3	GT-Predict	0	72
At_73C4	GT-Predict	0	72
At_73C5	GT-Predict	0	72
At_73C6	GT-Predict	0	72
At_73C7	GT-Predict	0	72
At_73B2	GT-Predict	0	72
At_73B3	GT-Predict	1	72
At_73B4	GT-Predict	1	72
At_73B5	GT-Predict	0	72
At_73B1	GT-Predict	0	72
At_89B1	GT-Predict	1	72
At_89C1	GT-Predict	0	72
At_84A3	GT-Predict	0	72
At_84A4	GT-Predict	0	72
At_84A2	GT-Predict	0	72
At_84A1	GT-Predict	1	72
At_84B1	GT-Predict	0	72
At_75B1	GT-Predict	1	72
At_75D1	GT-Predict	0	72
At_74F2	GT-Predict	1	72
At_74B1	GT-Predict	0	72
At_76E5	GT-Predict	0	72
At_76E4	GT-Predict	0	72
At_76E2	GT-Predict	0	72
At_76E12	GT-Predict	0	72
At_76E11	GT-Predict	0	72
At_76C4	GT-Predict	0	72
At_85A4	GT-Predict	0	72
At_78D2	GT-Predict	1	72
At_78D1	GT-Predict	0	72
UGT71G1	GT-Predict extensions	1	72
UGT78G1	GT-Predict extensions	1	72
OleD	GT-Predict extensions	1	72
UGT72B10	GT-Predict extensions	1	72
UGT74P1	GT-Predict extensions	0	72
UGT73A10	GT-Predict extensions	1	72
UGT74N1	GT-Predict extensions	0	72
UGT75L2	GT-Predict extensions	1	72
UGT85A20	GT-Predict extensions	0	72
UGT73Q1	GT-Predict extensions	0	72
UGT73A12	GT-Predict extensions	1	72
UGT86A5	GT-Predict extensions	0	72
UGT94E2	GT-Predict extensions	0	72
UGT84C2	GT-Predict extensions	1	72
UGT85B2	GT-Predict extensions	0	72
UGT74H5	GT-Predict extensions	1	72
UGT88C4	GT-Predict extensions	0	72
UGT74H6	GT-Predict extensions	0	72
UGT75E3	GT-Predict extensions	0	72
At_71C1	GT-Predict	1	689043
At_71C2	GT-Predict	1	689043
At_71C3	GT-Predict	1	689043
At_71C4	GT-Predict	1	689043
At_71C5	GT-Predict	0	689043
At_71B8	GT-Predict	1	689043
At_71B6	GT-Predict	0	689043
At_71B5	GT-Predict	0	689043
At_71B1	GT-Predict	1	689043
At_88A1	GT-Predict	0	689043
At_72E2	GT-Predict	1	689043
At_72E3	GT-Predict	1	689043
At_72E1	GT-Predict	0	689043
At_72D1	GT-Predict	0	689043
At_72C1	GT-Predict	0	689043
At_72B3	GT-Predict	0	689043
At_72B1	GT-Predict	0	689043
At_73C3	GT-Predict	0	689043
At_73C4	GT-Predict	0	689043
At_73C5	GT-Predict	0	689043
At_73C6	GT-Predict	0	689043
At_73C7	GT-Predict	0	689043
At_73B2	GT-Predict	0	689043
At_73B3	GT-Predict	1	689043
At_73B4	GT-Predict	0	689043
At_73B5	GT-Predict	1	689043
At_73B1	GT-Predict	0	689043
At_89B1	GT-Predict	1	689043
At_89C1	GT-Predict	0	689043
At_84A3	GT-Predict	1	689043
At_84A4	GT-Predict	1	689043
At_84A2	GT-Predict	1	689043
At_84A1	GT-Predict	1	689043
At_84B1	GT-Predict	1	689043
At_84B2	GT-Predict	0	689043
At_75B1	GT-Predict	1	689043
At_75D1	GT-Predict	0	689043
At_74F2	GT-Predict	0	689043
At_74B1	GT-Predict	0	689043
At_76E5	GT-Predict	0	689043
At_76E4	GT-Predict	0	689043
At_76E1	GT-Predict	0	689043
At_76E2	GT-Predict	0	689043
At_76E12	GT-Predict	1	689043
At_76E11	GT-Predict	0	689043
At_76C4	GT-Predict	0	689043
At_85A5	GT-Predict	0	689043
