Calycosin	20575-57-9	10	0	7	2	21	13	33	51	0	17	76	83	66	6	19	70	85	55	6	8	88	21	11	30	3	0	0	15	0	32	0	2	0	43	3	15	22	0	0	7
Oroxylin A	480-11-5	13	0	39	30	48	0	24	60	3	27	67	53	55	20	67	69	59	45	3	12	55	52	31	0	7	0	3	43	2	56	6	42	2	17	46	14	51	1	0	45
Caffeic Acid Phenethyl Ester	104594-70-9	97	92	55	55	72	39	97	92	77	81	93	100	33	98	41	100	40	97	2	14	58	16	33	47	9	0	2	17	34	51	0	16	0	16	14	58	51	0	1	18
Sakuranetin	2957-21-3	28	0	18	0	13	0	8	28	0	0	71	6	13	3	7	100	22	4	10	0	88	15	0	0	0	2	2	0	1	8	0	2	0	14	1	13	18	0	0	10
Eriodictyol	552-58-9	16	7	10	66	13	2	33	35	8	4	84	74	16	38	78	89	65	87	19	8	31	10	41	10	3	0	0	3	0	68	0	3	0	33	16	2	6	0	0	5
Aromadendrin	480-20-6	22	2	21	1	31	16	12	5	0	0	67	0	27	0	61	89	16	58	2	4	41	11	19	17	9	1	1	8	1	38	1	1	1	17	14	4	2	1	1	7
Hispidulin	1447-88-7	16	0	34	12	79	0	54	84	0	90	100	89	100	53	91	100	79	74	2	6	66	36	56	60	12	0	0	16	3	58	0	38	0	61	51	16	64	1	0	52
Tectorigenin	548-77-6	13	0	8	1	23	0	14	45	0	23	95	37	55	2	50	50	5	20	1	3	17	20	9	7	1	0	0	5	2	19	0	13	1	15	15	4	14	1	0	10
Flavokawain C	37308-75-1	34	0	14	0	10	0	61	67	0	72	81	40	86	19	48	85	13	0	7	35	91	23	36	44	0	0	3	5	9	82	0	63	2	94	19	17	31	0	0	33
Nordihydroguaiaretic acid	500-38-9	0	0	0	3	9	26	0	30	0	13	69	79	38	30	89	100	44	10	0	0	85	3	8	0	0	0	0	3	7	22	0	8	0	5	0	2	0	0	0	51
Protosappanin B	102036-29-3	0	0	0	0	0	0	0	0	0	0	7	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Dendrophenol	108853-14-1	1	0	1	1	1	1	53	90	0	22	2	28	2	10	55	79	14	49	1	1	21	11	0	14	0	1	1	2	4	2	0	13	0	1	2	21	3	1	1	2
6-Methoxyluteolin	520-11-6	57	3	25	24	65	24	64	77	16	54	93	0	75	43	51	91	72	87	3	44	100	30	34	37	8	0	0	27	6	64	0	29	8	47	30	26	80	0	0	50
Neobavaisoflavone	41060-15-5	27	0	15	0	0	2	74	91	0	64	94	58	95	12	68	94	61	33	33	3	84	95	75	91	8	4	0	53	11	86	0	0	0	90	4	11	61	0	0	61
Bavachin	19879-32-4	10	12	55	6	36	0	62	60	0	8	100	53	96	25	79	100	77	44	10	2	61	71	31	86	0	1	0	17	2	45	0	47	3	46	16	8	10	0	0	28
Aurantio-obtusin	67979-25-3	7	0	53	38	62	3	14	29	1	6	28	15	7	30	34	39	24	12	0	0	42	42	10	21	6	1	1	21	1	62	0	3	0	23	53	56	32	0	1	59
Jaceosidin	18085-97-7	37	1	64	36	64	0	84	71	3	62	93	43	97	32	77	95	95	78	1	53	77	65	28	52	21	0	0	33	4	60	0	48	3	61	53	15	73	4	0	48
Neochlorogenic acid	906-33-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Irigenin	548-76-5	15	0	8	4	18	12	27	61	0	25	64	25	60	7	76	87	86	56	0	4	19	34	0	12	1	0	0	14	0	25	0	10	0	7	22	2	32	0	0	23
Polydatin	27208-80-6	0	0	1	0	1	0	11	23	0	0	13	0	0	0	3	0	0	0	0	1	21	0	8	1	0	0	0	0	5	0	0	3	0	15	0	0	9	0	0	19
