cid	MolecularWeight	smiles	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	AtomStereoCount	BondStereoCount	NumValenceElectrons	NumHeteroatoms	MinPartialCharge	MaxPartialCharge	MinAbsPartialCharge	MaxAbsPartialCharge	HallKierAlpha	LabuteASA	NumRings	NumAmideBonds	NumBridgeheadAtoms	NumHeterocycles	NumLipinskiHBA	NumLipinskiHBD	NumSpiroAtoms	NumAliphaticRings	NumAliphaticCarbocycles	NumAliphaticHeterocycles	NumAromaticRings	NumAromaticCarbocycles	NumAromaticHeterocycles	NumSaturatedCarbocycles	NumSaturatedHeterocycles	NumSaturatedRings	FractionCSP3	Eccentricity	Asphericity	InertialShapeFactor	NPR1	NPR2	SpherocityIndex	RadiusOfGyration	MolLogP	MolMR	HeavyAtomCount	VanDerWaalsVolume	SASA	C_O	C_O_noCOO	Al_OH	Ar_OH	methoxy	oxime	ester	Al_COO	Ar_COO	COO	COO2	ketone	ether	phenol	aldehyde	quatN	NH2	NH1	NH0	Ar_N	Ar_NH	aniline	Imine	nitrile	hdrzine	hdrzone	nitroso	N_O	nitro	azo	diazo	azide	amide	priamide	amidine	guanido	Nhpyrrole	imide	isocyan	isothiocyan	thiocyan	halogen	alkyl_halide	sulfide	SH	C_S	sulfone	sulfonamd	prisulfonamd	barbitur	urea	term_acetylene	imidazole	furan	thiophene	thiazole	oxazole	pyridine	piperdine	piperzine	morpholine	lactam	lactone	tetrazole	epoxide	unbrch_alkane	bicyclic	benzene	phos_acid	phos_ester	nitro_arom	nitro_arom_nonortho	dihydropyridine	phenol_noOrthoHbond	Al_OH_noTert	benzodiazepine	para_hydroxylation	allylic_oxid	aryl_methyl	Ndealkylation1	Ndealkylation2	alkyl_carbamate	ketone_Topliss	ArN	HOCCN	primary_alcohol	secondary_alcohol	tertiary_alcohol	coumarin	thiophenol	hydroxyamino
10154	327.4	CN1CCC2=CC(=C(C3=C2C1CC4=CC(=C(C=C43)OC)O)OC)O	62.2	461	0	2	5	2	24	1	0	126	5	-0.5042475041013863	0.2932942744555965	0.2932942744555965	0.5042475041013863	-2.4	170.28454247266643	4	0	0	1	5	2	0	2	1	1	2	2	0	0	0	0	0.3684210526315789	0.91989215268927	0.2739215823205675	0.00041821222806595534	0.3921714260635274	0.6335247969009673	0.08691989772845059	3.456937765702492	2.867100000000002	91.09060000000004	24	293.3040000000001	383.5322564600124	0	0	0	2	2	0	0	0	0	0	0	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	6	6	0	0	0	0
101763507	993.8	C1C(C(=O)OCC(C(=O)OCC(C(=O)O1)NC(=O)C2=C(C(=CC(=C2)C3C(C(C(C(O3)CO)O)O)O)O)O)NC(=O)C4=C(C(=CC(=C4)C5C(C(C(C(O5)CO)O)O)O)O)O)NC(=O)C6=C(C(=CC=C6)O)O	468.0	1850	0	17	25	10	70	13	0	380	28	-0.5042421021300195	0.3318363369929704	0.3318363369929704	0.5042421021300195	-7.12	459.0135936643054	6	3	0	3	28	17	0	3	0	3	3	3	0	0	3	3	0.42857142857142855	0.9501562821212827	0.3397988145390576	4.4371396891119144e-05	0.311774019997596	0.7708778610379694	0.13212348267557975	7.6411318404217825	-5.711199999999983	221.39479999999983	70	806.3520000000002	1025.3027061730693	6	6	8	6	0	0	3	0	0	0	0	0	5	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	48	45	0	0	0	0
10441749	134.14	C1=CN2C(=C1)C(=NC=N2)N	56.2	127	0	1	3	0	10	0	0	50	4	-0.38184849661150005	0.1578224558071185	0.1578224558071185	0.38184849661150005	-1.58	65.84314000750338	2	0	0	2	4	2	0	0	0	0	2	0	2	0	0	0	0.0	0.9124811946644897	0.2718052921990479	0.0027511574145314475	0.4091186495182852	0.5969050283099994	0.04897741792877794	1.9913192907270576	0.3115	37.39940000000001	10	116.44000000000003	165.19875601820885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
10684283	282.29	CC1=C(C=C2C(=C1OC)C(=O)C3=CC=CC=C3C2=O)OC	52.6	433	0	0	4	2	21	0	0	106	4	-0.4963189473155466	0.19776421906429045	0.19776421906429045	0.4963189473155466	-2.6199999999999997	141.52709840546547	3	0	0	0	4	0	0	1	1	0	2	2	0	0	0	0	0.17647058823529413	0.9482988872041104	0.34613873562617214	0.0007247986632894941	0.31737867056159563	0.6963140048514779	0.0477023642540839	3.285753727503348	2.7876200000000004	77.59000000000003	21	249.05600000000007	327.04001264342793	2	2	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0
107126	212.28	CCCCCC1C(CCC1=O)CC(=O)O	54.4	235	0	1	3	6	15	2	0	86	3	-0.4812225286702776	0.30314686430012683	0.30314686430012683	0.4812225286702776	-0.8600000000000001	119.05114134642997	1	0	0	0	3	1	0	1	1	0	0	0	0	1	0	1	0.8333333333333334	0.9243047380248054	0.2546583281149873	0.001080246815347522	0.3816552780519297	0.7566394205962008	0.2744122883172307	3.0402016087463726	2.6367000000000003	57.615800000000036	15	215.28800000000004	312.8739345439418	2	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
10742	198.17	COC1=CC(=CC(=C1O)OC)C(=O)O	76.0	191	0	2	5	3	14	0	0	76	5	-0.5016991600387263	0.3354625621767431	0.3354625621767431	0.5016991600387263	-1.9100000000000001	94.72635504406892	1	0	0	0	5	2	0	0	0	0	1	1	0	0	0	0	0.2222222222222222	0.8819710529592389	0.24946164769539558	0.0007459823708648053	0.47130357705195836	0.5332615008992071	0.041379301814195815	2.7696647886286567	1.1076	48.17010000000002	14	172.00800000000004	236.23873041978942	1	0	0	1	2	0	0	0	1	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0
10819	152.23	CC(=C)C1CCC(=CC1)CO	20.2	179	0	1	1	2	11	1	0	62	1	-0.3920242079345031	0.21051229360617127	0.21051229360617127	0.3920242079345031	-0.56	90.99912485250947	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0.6	0.981084458416133	0.5328552050546159	0.005102149067628348	0.19358017836111993	0.9471158320348849	0.35443024608296175	2.5965514189293093	2.2813000000000003	47.32380000000003	11	163.80800000000005	247.85221531971135	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	3	0	0	0	0
10922465	234.33	CC1CCC(C2C1CCC(=C2)C)C(=C)C(=O)O	37.3	367	0	1	2	2	17	4	0	94	2	-0.47788143916002357	0.33076090294848404	0.33076090294848404	0.47788143916002357	-1.05	134.40934937201393	2	0	0	0	2	1	0	2	2	0	0	0	0	1	0	1	0.6666666666666666	0.8406707861585473	0.14329817172540998	0.0007148389348560157	0.5415465162842157	0.6504019154267493	0.3717610834748121	2.803153016704383	3.645800000000002	68.63480000000004	17	235.11200000000005	324.08581658576566	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0
10955174	222.37	CC1CCC2(C(C3CCC2(C1C3)C)(C)C)O	20.2	321	0	1	1	0	16	5	0	92	1	-0.3887427222905962	0.21091271149472107	0.21091271149472107	0.3887427222905962	-0.04	136.24108418348064	4	0	4	0	1	1	0	4	4	0	0	0	0	4	0	4	1.0	0.7809976610307131	0.07790776201781426	0.001628382416400621	0.6245339490088233	0.9723092238909302	0.6804999563985394	2.362728324792816	3.609800000000003	66.06680000000004	16	231.44800000000006	297.1079564681042	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	27	0	0	0
114840	271.31	C1CNC(C2=CC(=C(C=C21)O)O)CC3=CC=C(C=C3)O	72.7	317	0	4	4	2	20	1	0	104	4	-0.5079666451763591	0.2932937930449559	0.2932937930449559	0.5079666451763591	-2.1999999999999997	141.0775639792871	3	0	0	1	4	4	0	1	0	1	2	2	0	0	0	0	0.25	0.988425354710173	0.6126866173826833	0.001524768221549992	0.1517080029730423	0.8763187127893104	0.08723305031130385	3.762781640111385	2.2329000000000003	76.03010000000002	20	247.12800000000007	338.2577082505691	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
