cid	SESA
10154	341.923
101763507	933.920
10441749	143.932
10684283	296.068
107126	269.955
10742	214.678
10819	206.775
10922465	271.808
10955174	258.090
114840	297.271
11727234	293.006
11782	177.496
11876195	291.169
122707150	479.912
122738	550.574
122850	279.948
12310492	340.062
124219	300.576
12426239	209.722
1254	215.909
12820	199.832
128861	277.698
12900885	300.796
129320322	413.731
129865704	247.653
135	154.074
135398625	520.698
135398627	539.407
135402013	526.352
135403798	513.909
13846689	294.709
143754	133.926
14427423	373.739
1548943	383.528
1549095	217.065
155011	320.817
155240	228.145
15541	332.638
16666	219.673
17100	209.424
1738	206.125
174174	329.525
174375	332.070
176096	344.694
18068	494.628
188297	266.686
19235	470.844
21487628	335.366
21611827	268.401
21648	209.313
21722188	426.115
21932272	282.314
220295	225.748
227829	284.040
23581946	453.531
238398	149.676
25056407	439.211
26945	603.628
2733787	389.783
27582	170.737
285033	574.879
3001686	416.340
31211	242.326
31553	464.657
32021	254.583
3314	206.784
34231	624.949
3469	162.189
356759	365.633
3830	220.918
398789	358.369
4133	171.991
42607887	272.954
439174	239.982
439194	129.114
439378	221.203
439533	288.581
439653	357.621
440735	286.101
442793	365.709
443210	516.774
444539	173.180
445154	256.966
445675	548.229
445858	212.675
4477	290.505
448873	500.351
449093	244.749
4534	345.579
45382232	264.306
4592	334.733
4788	288.416
47936	415.587
4947	237.954
49852346	501.649
49852436	486.817
5013064	325.204
50591	150.714
5280343	279.922
5280371	187.952
5280441	404.780
5280443	260.059
5280445	271.143
5280448	284.172
5280460	195.748
5280535	183.709
5280567	183.443
5280633	357.901
5280863	274.111
5280896	297.935
5280961	262.622
5281166	266.226
5281222	284.864
5281343	173.568
5281416	178.856
5281426	165.254
5281605	259.412
5281614	272.045
5281628	299.057
5281647	382.804
5281656	240.713
5281708	255.425
5281718	402.602
5281787	315.344
5281811	295.116
5281855	254.129
5284507	313.053
5284649	266.417
5315892	170.870
5317284	306.209
5317700	248.014
5318517	378.900
5318650	286.756
5319502	196.930
5320053	349.011
5320315	288.123
5320954	281.294
5321775	356.985
53232	466.199
5327038	867.076
5328791	207.916
53297394	326.743
53377390	437.020
5337757	197.381
5338490	217.850
5354284	195.321
53628457	403.369
5366264	221.005
5375469	207.308
5379033	362.998
5379096	324.184
5388063	314.609
5398649	254.349
5413034	251.922
5464170	357.670
54679630	177.206
5484169	208.400
5793	192.586
5912039	269.695
5959	303.511
6047	225.907
6072	429.359
62389	239.780
6255462	272.250
6288	148.556
6293081	317.420
637540	184.165
637541	182.056
637542	186.731
637566	224.049
637775	246.464
6466	332.458
64685	193.362
64981	410.916
65090	194.552
65126	359.180
65243	368.618
6549	220.871
68073	180.956
68099	158.638
681	188.546
68146761	283.984
68213	262.794
68289	150.144
689043	198.177
689075	219.975
689111	255.907
69867	173.667
6989	198.941
7009598	285.057
7015695	270.406
7041	184.728
7043	172.219
70775	184.401
7172	206.819
72	164.144
72276	288.917
72303	319.291
7257	157.771
72936	465.755
73399	370.746
73412	512.716
73571	296.385
77093	237.995
780	180.057
79064	419.283
79964	163.340
802	195.960
83651	165.006
8434	196.784
854026	272.634
8629	506.327
8635	178.367
90120509	286.814
9064	290.287
90657995	294.021
91469	265.772
92109	334.018
92180	237.160
931	150.930
932	271.566
9883304	276.328
99514	343.192
