cid	MolecularWeight	smiles	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	AtomStereoCount	BondStereoCount
27582	197.4	C1=CC(=C(C(=C1O)Cl)Cl)Cl	20.2	120	0	1	1	0	10	0	0
285033	545.6	CC(C)(CCCC(CC(=O)OC)(C(=O)OC1C2C3=CC4=C(C=C3CCN5C2(CCC5)C=C1OC)OCO4)O)O	124	968	0	2	10	11	39	4	0
3001686	388.5	CC1CC2=CC(=C(C(=C2C3=C(C(=C(C=C3CC1C)O)OC)OC)OC)OC)O	77.4	457	0	2	6	4	28	2	0
31211	194.23	CC(=O)CCC1=CC(=C(C=C1)O)OC	46.5	191	0	1	3	4	14	0	0
31553	482.4	COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O	155	750	0	5	10	4	35	4	0
32021	221.26	CC(CCNC1=NC=NC2=C1NC=N2)CO	86.7	215	0	3	5	5	16	1	0
3314	164.20	COC1=C(C=CC(=C1)CC=C)O	29.5	145	0	1	2	3	12	0	0
34231	669.5	C1C(C(=O)OCC(C(=O)OCC(C(=O)O1)NC(=O)C2=C(C(=CC=C2)O)O)NC(=O)C3=C(C(=CC=C3)O)O)NC(=O)C4=C(C(=CC=C4)O)O	288	1060	0	9	15	6	48	3	0
3469	154.12	C1=CC(=C(C=C1O)C(=O)O)O	77.8	157	0	3	4	1	11	0	0
356759	318.4	COC1=C(C=C(C=C1)CCC2=CC(=C(C(=C2)OC)OC)OC)O	57.2	323	0	1	5	7	23	0	0
3830	215.21	C1=COC(=C1)CNC2=NC=NC3=C2NC=N3	79.6	239	0	2	5	3	16	0	0
398789	329.3	CC(=C)C(COC1=C(C2=C(C=C1)C(=C3C=COC3=N2)OC)OC)O	74	445	0	1	6	6	24	1	0
4133	152.15	COC(=O)C1=CC=CC=C1O	46.5	144	0	1	3	2	11	0	0
42607887	272.25	C1C(=O)C2=C(C=C(C=C2OC1(C3=CC=CC=C3)O)O)O	87	379	0	3	5	1	20	1	0
439174	221.21	CC(=O)NC1C(C(C(OC1O)CO)O)O	119	235	0	5	6	2	15	5	0
439194	106.08	C(C(C(=O)O)O)O	77.8	69	0	3	4	2	7	1	0
439378	174.20	CCNC(=O)CCC(C(=O)O)N	92.4	170	0	3	4	5	12	1	0
439533	304.25	C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O	127	428	0	5	7	1	22	2	0
439653	329.4	CN1CCC2=CC(=C(C=C2C1CC3=CC(=C(C=C3)OC)O)O)OC	62.2	407	0	2	5	4	24	1	0
442793	294.4	CCCCCC(CC(=O)CCC1=CC(=C(C=C1)O)OC)O	66.8	293	0	2	4	10	21	1	0
443210	564.3	CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O	271	978	0	8	16	9	36	8	0
444539	148.16	C1=CC=C(C=C1)C=CC(=O)O	37.3	155	0	1	2	2	11	0	1
445154	228.24	C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O	60.7	246	0	3	3	2	17	0	1
445675	607.4	CC(=O)NC1C(C(C(OC1OP(=O)(O)OP(=O)(O)OCC2C(C(C(O2)N3C=CC(=O)NC3=O)O)O)CO)O)O	300	1080	0	9	17	10	39	9	0
445858	194.18	COC1=C(C=CC(=C1)C=CC(=O)O)O	66.8	224	0	2	4	3	14	0	1
4477	327.12	C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O	95.2	404	0	2	4	2	21	0	0
448873	566.30	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O	292	964	0	9	17	9	36	9	0
449093	219.24	CC(=CCNC1=NC=NC2=C1NC=N2)CO	86.7	258	0	3	5	4	16	0	1
