cid	SolventExcludedVolume	VoidVolume	VanDerWaalsVolume	PackingDensity
53232	437.826	41.470	396.356	0.905
61151	158.663	5.605	153.058	0.965
62389	205.056	6.496	198.560	0.968
64685	175.405	12.126	163.279	0.931
64802	216.768	9.676	207.092	0.955
64981	366.306	25.587	340.719	0.930
65090	164.728	4.559	160.168	0.972
65126	341.375	25.481	315.894	0.925
65243	366.779	26.927	339.851	0.927
67591	159.399	6.592	152.807	0.959
67650	183.789	5.718	178.071	0.969
68073	148.567	5.418	143.149	0.964
68099	131.387	4.220	127.167	0.968
68213	225.148	9.919	215.229	0.956
68289	119.702	3.331	116.370	0.972
68481	149.693	5.342	144.351	0.964
69867	144.055	4.737	139.318	0.967
72276	254.924	11.979	242.944	0.953
72303	275.644	15.674	259.970	0.943
72304	203.326	6.302	197.025	0.969
72936	433.419	42.575	390.844	0.902
73399	334.463	18.415	316.048	0.945
73412	517.850	39.707	478.143	0.923
75074	186.716	7.328	179.388	0.961
77093	206.094	8.691	197.403	0.958
77793	229.511	7.281	222.230	0.968
78838	196.190	8.747	187.443	0.955
79064	370.145	35.685	334.459	0.904
79332	159.609	5.654	153.955	0.965
79964	134.593	4.985	129.608	0.963
81046	200.000	5.796	194.204	0.971
92109	319.361	24.743	294.618	0.923
92180	196.692	8.298	188.395	0.958
92841	187.763	6.293	181.470	0.966
94156	211.594	9.155	202.438	0.957
94525	228.424	6.769	221.655	0.970
96744	127.629	3.908	123.721	0.969
98955	175.142	5.766	169.376	0.967
99514	332.755	25.099	307.656	0.925
102928	240.306	10.351	229.955	0.957
107126	231.028	16.915	214.113	0.927
114840	260.678	14.173	246.505	0.946
122738	516.100	45.763	470.338	0.911
124219	264.603	12.650	251.953	0.952
128861	242.376	9.113	233.262	0.962
142094	134.809	4.732	130.077	0.965
143754	104.478	3.142	101.336	0.970
145858	198.052	5.820	192.232	0.971
151515	217.576	7.060	210.516	0.968
155240	188.952	9.692	179.260	0.949
174174	296.310	21.128	275.183	0.929
174375	289.020	10.529	278.492	0.964
179615	158.613	6.086	152.527	0.962
188297	252.965	18.051	234.914	0.929
223144	210.926	11.212	199.714	0.947
227829	258.246	19.221	239.026	0.926
231093	225.716	10.039	215.677	0.956
242064	228.654	9.815	218.839	0.957
244778	243.326	11.025	232.302	0.955
248021	217.985	7.159	210.826	0.967
255587	188.879	9.451	179.428	0.950
261391	208.268	6.491	201.777	0.969
261393	206.974	5.842	201.132	0.972
261394	208.865	6.482	202.383	0.969
261395	208.482	6.433	202.048	0.969
285033	553.369	61.755	491.614	0.888
356759	318.820	20.233	298.587	0.937
398789	314.537	21.229	293.308	0.933
439174	203.879	14.329	189.550	0.930
439194	94.903	5.054	89.849	0.947
439378	178.071	12.512	165.558	0.930
439533	256.256	11.647	244.609	0.955
439653	321.756	17.242	304.514	0.946
442793	316.107	22.059	294.048	0.930
443210	470.115	44.977	425.138	0.904
444539	142.862	4.116	138.746	0.971
445154	214.396	7.718	206.678	0.964
445675	497.392	41.099	456.293	0.917
445858	179.289	6.464	172.825	0.964
448873	456.527	40.979	415.549	0.910
449093	205.310	9.205	196.105	0.955
466268	229.621	7.315	222.306	0.968
466273	217.519	6.737	210.782	0.969
521184	137.429	4.302	133.127	0.969
577969	182.338	8.686	173.652	0.952
578495	181.550	8.281	173.269	0.954
592453	136.582	3.625	132.957	0.973
607716	228.764	9.948	218.816	0.957
607797	192.118	5.438	186.680	0.972
610875	213.177	6.438	206.739	0.970
611808	201.211	5.917	195.294	0.971
615442	188.775	5.482	183.292	0.971
619834	230.158	7.787	222.371	0.966
637540	151.765	4.904	146.861	0.968
637541	152.141	5.195	146.946	0.966
637542	152.109	5.096	147.013	0.966
637566	190.485	15.235	175.250	0.920
637775	206.088	8.245	197.842	0.960
689043	161.159	5.708	155.451	0.965
689111	223.001	9.148	213.852	0.959
854026	243.340	14.195	229.145	0.942
928228	179.701	7.556	172.145	0.958
1481671	165.790	5.050	160.741	0.970
1548943	333.546	25.800	307.746	0.923
1549095	176.882	7.514	169.368	0.958
2733787	347.718	26.818	320.900	0.923
2759713	161.145	8.039	153.106	0.950
2817225	263.750	13.846	249.904	0.948
2825024	239.639	9.918	229.722	0.959
3001686	393.978	39.822	354.157	0.899
5013064	290.414	14.546	275.868	0.950
5150599	215.125	8.462	206.663	0.961
5262584	203.297	6.467	196.831	0.968
5270543	219.205	9.272	209.934	0.958
5280343	246.974	9.213	237.761	0.963
5280371	163.950	4.237	159.713	0.974
5280443	229.169	7.824	221.345	0.966
5280445	238.774	8.782	229.992	0.963
5280460	165.479	4.921	160.559	0.970
5280535	150.504	5.790	144.714	0.962
5280567	156.206	5.025	151.181	0.968
5280863	238.582	8.499	230.083	0.964
5280896	270.030	18.278	251.751	0.932
5280961	230.640	8.227	222.413	0.964
5281166	224.933	16.074	208.859	0.929
5281416	147.883	4.450	143.433	0.970
5281426	139.263	3.942	135.321	0.972
5281605	228.284	6.844	221.440	0.970
5281614	238.481	8.484	229.997	0.964
5281656	208.940	6.627	202.313	0.968
5281708	222.081	7.831	214.249	0.965
5281855	225.579	6.997	218.582	0.969
5284507	270.497	19.604	250.894	0.928
5315892	139.926	4.369	135.557	0.969
5317700	213.047	10.214	202.832	0.952
5318517	358.934	28.537	330.397	0.920
5327038	786.267	81.602	704.665	0.896
5328791	171.203	7.365	163.838	0.957
5337757	167.806	5.133	162.673	0.969
5338490	186.993	8.316	178.677	0.956
5366264	179.361	10.838	168.523	0.940
5375469	175.783	8.495	167.288	0.952
5379033	326.789	21.233	305.557	0.935
5388063	268.290	10.211	258.079	0.962
5460358	92.764	5.401	87.362	0.942
5484169	173.526	7.364	166.162	0.958
5912039	243.860	13.916	229.944	0.943
7009598	248.708	20.600	228.107	0.917
7015695	228.525	20.417	208.108	0.911
9883304	256.349	8.732	247.617	0.966
9991610	207.141	9.796	197.346	0.953
10057850	135.228	3.749	131.479	0.972
10225624	488.450	55.770	432.680	0.886
10264408	217.825	7.015	210.811	0.968
10441749	118.888	3.412	115.476	0.971
10684283	259.110	10.899	248.211	0.958
10800915	223.297	8.763	214.534	0.961
10922465	257.254	21.690	235.564	0.916
10955174	249.119	17.001	232.118	0.932
10955672	230.694	12.439	218.255	0.946
11240776	156.820	4.589	152.231	0.971
11446884	162.500	5.300	157.200	0.967
11507421	252.545	10.105	242.440	0.960
11727234	263.900	8.569	255.331	0.968
11876195	270.368	21.035	249.334	0.922
12310492	326.325	20.492	305.833	0.937
12398446	191.491	7.287	184.204	0.962
12398447	201.589	8.224	193.365	0.959
12426239	183.303	11.508	171.795	0.937
12514018	244.178	11.622	232.557	0.952
12553720	252.213	10.164	242.049	0.960
12582098	248.879	14.428	234.452	0.942
12669351	263.641	13.450	250.192	0.949
12693379	202.676	8.550	194.126	0.958
12732963	144.580	4.072	140.508	0.972
12900885	256.517	21.855	234.662	0.915
13015717	153.412	5.559	147.853	0.964
13045738	236.744	9.508	227.236	0.960
13045799	266.840	19.701	247.139	0.926
13807896	266.812	15.276	251.536	0.943
14427423	341.105	20.933	320.172	0.939
14713900	243.958	13.983	229.975	0.943
15262172	228.950	7.301	221.649	0.968
15717462	152.879	4.814	148.064	0.969
15731437	251.793	11.044	240.749	0.956
20083560	218.441	9.669	208.772	0.956
20452412	227.353	11.482	215.871	0.949
20976640	214.748	8.380	206.368	0.961
21487628	295.911	20.799	275.112	0.930
21611827	240.505	11.679	228.826	0.951
21722188	393.505	26.921	366.584	0.932
21928631	179.240	4.815	174.425	0.973
21932272	250.538	12.559	237.979	0.950
22716855	242.086	13.231	228.854	0.945
23581946	444.491	43.596	400.895	0.902
25056407	393.890	26.484	367.406	0.933
42607887	240.493	11.403	229.090	0.953
49852346	453.168	38.042	415.126	0.916
49852436	444.674	36.589	408.084	0.918
53297394	306.070	18.374	287.696	0.940
53377390	413.978	29.873	384.106	0.928
53395455	166.095	5.529	160.566	0.967
53441188	174.811	5.588	169.223	0.968
53628457	349.280	16.723	332.557	0.952
54105512	187.690	6.606	181.084	0.965
55273731	166.715	8.439	158.276	0.949
55275176	176.131	8.832	167.299	0.950
56629747	215.834	9.440	206.394	0.956
66777173	235.777	9.249	226.528	0.961
67042231	228.872	10.911	217.961	0.952
68146761	244.256	12.710	231.546	0.948
71422187	184.198	6.498	177.701	0.965
85773370	210.305	9.330	200.975	0.956
85777085	224.541	7.067	217.474	0.969
90120509	241.182	19.997	221.185	0.917
90657995	260.132	14.275	245.857	0.945
101763507	854.890	62.511	792.379	0.927
119087140	193.033	6.221	186.812	0.968
122707150	427.573	33.064	394.509	0.923
129320321	387.460	25.045	362.415	0.935
129320322	390.692	25.253	365.439	0.935
129865704	209.127	7.253	201.874	0.965
129883109	216.744	6.413	210.331	0.970
135398625	490.541	46.920	443.621	0.904
135398627	492.265	48.260	444.006	0.902
135402013	476.003	40.592	435.411	0.915
135403798	487.664	35.684	451.980	0.927
148791698	225.514	9.225	216.289	0.959
