cid	SolventExcludedVolume	VoidVolume	VanDerWaalsVolume	PackingDensity
72	132.791	4.461	128.330	0.966
135	124.193	4.471	119.722	0.964
240	105.307	2.617	102.690	0.975
323	129.901	3.104	126.797	0.976
681	153.687	7.847	145.840	0.949
801	161.685	7.699	153.986	0.952
802	162.275	6.072	156.203	0.963
931	129.521	3.207	126.313	0.975
932	239.294	10.464	228.830	0.956
1254	188.568	13.747	174.821	0.927
1738	170.948	8.983	161.965	0.947
3102	178.760	5.071	173.689	0.972
3314	170.451	8.658	161.792	0.949
3469	131.769	4.548	127.221	0.965
3830	186.344	5.457	180.887	0.971
4114	185.075	7.429	177.646	0.960
4133	140.208	4.269	135.939	0.970
4175	427.895	39.804	388.092	0.907
4477	254.062	9.282	244.780	0.963
4592	286.841	16.908	269.932	0.941
4788	250.631	11.569	239.062	0.954
5793	159.084	9.973	149.111	0.937
5959	271.573	22.366	249.207	0.918
6047	185.182	11.846	173.336	0.936
6072	402.385	33.075	369.310	0.918
6199	155.670	3.807	151.863	0.976
6288	116.840	7.384	109.455	0.937
6466	324.741	26.529	298.212	0.918
6549	187.430	12.702	174.728	0.932
6895	129.564	4.290	125.275	0.967
6989	165.767	7.981	157.786	0.952
6996	120.920	4.577	116.343	0.962
7020	173.619	4.325	169.294	0.975
7041	147.913	5.191	142.723	0.965
7043	138.879	4.364	134.515	0.969
7150	131.973	3.689	128.284	0.972
7172	170.959	9.358	161.601	0.945
7257	127.955	4.832	123.123	0.962
7410	123.227	3.743	119.484	0.970
7463	157.863	7.367	150.495	0.953
7644	160.229	4.564	155.665	0.972
8417	183.596	6.130	177.467	0.967
8434	159.639	6.077	153.561	0.962
8499	159.024	5.361	153.663	0.966
8629	458.902	41.454	417.448	0.910
8635	144.694	5.182	139.512	0.964
8658	131.459	3.909	127.550	0.970
9025	139.118	4.753	134.365	0.966
9064	256.042	12.662	243.379	0.951
9229	109.562	2.222	107.340	0.980
9948	198.927	8.512	190.415	0.957
10154	312.542	19.047	293.495	0.939
10251	214.177	9.744	204.432	0.955
10680	202.806	6.025	196.781	0.970
10742	176.825	6.605	170.220	0.963
10748	156.393	4.533	151.860	0.971
10819	173.978	10.621	163.357	0.939
11502	186.388	4.998	181.389	0.973
11782	148.586	5.579	143.007	0.962
11833	147.462	4.382	143.079	0.970
11895	149.407	6.576	142.830	0.956
12462	168.617	8.431	160.186	0.950
12463	144.221	5.368	138.853	0.963
15541	309.440	25.067	284.373	0.919
16666	188.241	13.459	174.781	0.928
16716	172.071	8.941	163.129	0.948
17100	180.229	11.316	168.913	0.937
18068	453.904	37.979	415.925	0.916
19235	427.925	35.228	392.697	0.918
21648	170.952	9.330	161.622	0.945
26945	568.754	42.419	526.335	0.925
27582	138.530	4.812	133.718	0.965
30553	176.659	5.493	171.166	0.969
31211	197.193	10.730	186.463	0.946
31553	419.973	22.578	397.395	0.946
32021	213.281	10.776	202.505	0.949
34231	576.138	35.139	540.999	0.939
41017	156.719	5.853	150.866	0.963
47936	411.208	36.636	374.572	0.911
50591	123.375	3.465	119.911	0.972
