enzyme	rate	source	reaction	cid	acceptor
At_73B1		GT-Predict	1	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_71B5		GT-Predict	0	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_88A1		GT-Predict	0	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_73C3		GT-Predict	0	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_73B5		GT-Predict	0	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_76E12		GT-Predict	0	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
VVGT1		GT-Predict	0	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_72D1		GT-Predict	0	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_74B1		GT-Predict	0	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_73C5		GT-Predict	0	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_73C6		GT-Predict	0	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_73C1		GT-Predict	0	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_73B4		GT-Predict	0	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_74F2		GT-Predict	0	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_84A3		GT-Predict	0	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_84A4		GT-Predict	0	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_84B1		GT-Predict	1	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_84A2		GT-Predict	1	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_84A1		GT-Predict	1	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_75B1		GT-Predict	1	5280896	(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid
At_73C4		GT-Predict	0	5281166	Jasmonic acid
At_78D1		GT-Predict	0	5281166	Jasmonic acid
At_76E5		GT-Predict	0	5281166	Jasmonic acid
At_73C7		GT-Predict	0	5281166	Jasmonic acid
At_73B2		GT-Predict	0	5281166	Jasmonic acid
At_76C4		GT-Predict	0	5281166	Jasmonic acid
At_72E1		GT-Predict	0	5281166	Jasmonic acid
At_89C1		GT-Predict	0	5281166	Jasmonic acid
At_85A5		GT-Predict	0	5281166	Jasmonic acid
At_85A4		GT-Predict	0	5281166	Jasmonic acid
At_71B8		GT-Predict	0	5281166	Jasmonic acid
At_76E4		GT-Predict	0	5281166	Jasmonic acid
At_76E2		GT-Predict	0	5281166	Jasmonic acid
At_76E1		GT-Predict	0	5281166	Jasmonic acid
At_71C5		GT-Predict	0	5281166	Jasmonic acid
At_72B3		GT-Predict	0	5281166	Jasmonic acid
At_76E11		GT-Predict	0	5281166	Jasmonic acid
At_75D1		GT-Predict	0	5281166	Jasmonic acid
At_72C1		GT-Predict	0	5281166	Jasmonic acid
At_72B1		GT-Predict	0	5281166	Jasmonic acid
At_84B2		GT-Predict	0	5281166	Jasmonic acid
At_71C1		GT-Predict	0	5281166	Jasmonic acid
At_71C2		GT-Predict	0	5281166	Jasmonic acid
At_89B1		GT-Predict	0	5281166	Jasmonic acid
At_74F1		GT-Predict	0	5281166	Jasmonic acid
At_72E2		GT-Predict	0	5281166	Jasmonic acid
At_72E3		GT-Predict	0	5281166	Jasmonic acid
At_71C3		GT-Predict	0	5281166	Jasmonic acid
At_71C4		GT-Predict	0	5281166	Jasmonic acid
At_71B1		GT-Predict	0	5281166	Jasmonic acid
At_73B3		GT-Predict	0	5281166	Jasmonic acid
At_78D2		GT-Predict	0	5281166	Jasmonic acid
At_71B6		GT-Predict	0	5281166	Jasmonic acid
At_73B1		GT-Predict	0	5281166	Jasmonic acid
At_71B5		GT-Predict	0	5281166	Jasmonic acid
At_88A1		GT-Predict	0	5281166	Jasmonic acid
At_73C3		GT-Predict	0	5281166	Jasmonic acid
At_73B5		GT-Predict	0	5281166	Jasmonic acid
At_76E12		GT-Predict	0	5281166	Jasmonic acid
VVGT1		GT-Predict	0	5281166	Jasmonic acid
At_72D1		GT-Predict	0	5281166	Jasmonic acid
At_74B1		GT-Predict	0	5281166	Jasmonic acid
At_73C5		GT-Predict	0	5281166	Jasmonic acid
At_73C6		GT-Predict	0	5281166	Jasmonic acid
At_73C1		GT-Predict	0	5281166	Jasmonic acid
At_73B4		GT-Predict	0	5281166	Jasmonic acid
At_74F2		GT-Predict	0	5281166	Jasmonic acid
At_84A3		GT-Predict	0	5281166	Jasmonic acid
At_84A4		GT-Predict	0	5281166	Jasmonic acid
At_84B1		GT-Predict	0	5281166	Jasmonic acid
At_84A2		GT-Predict	1	5281166	Jasmonic acid
At_84A1		GT-Predict	1	5281166	Jasmonic acid
At_75B1		GT-Predict	1	5281166	Jasmonic acid
UGT71G1		GT-Predict extensions	0	5281166	Jasmonic acid
UGT78G1		GT-Predict extensions	0	5281166	Jasmonic acid
UGT72B10		GT-Predict extensions	0	5281166	Jasmonic acid
UGT74P1		GT-Predict extensions	0	5281166	Jasmonic acid
UGT73A10		GT-Predict extensions	0	5281166	Jasmonic acid
UGT74N1		GT-Predict extensions	0	5281166	Jasmonic acid
UGT75L2		GT-Predict extensions	0	5281166	Jasmonic acid
UGT85A20		GT-Predict extensions	0	5281166	Jasmonic acid
UGT73Q1		GT-Predict extensions	0	5281166	Jasmonic acid
UGT73A12		GT-Predict extensions	0	5281166	Jasmonic acid
UGT86A5		GT-Predict extensions	0	5281166	Jasmonic acid
UGT94E2		GT-Predict extensions	0	5281166	Jasmonic acid
UGT84C2		GT-Predict extensions	0	5281166	Jasmonic acid
UGT85B2		GT-Predict extensions	0	5281166	Jasmonic acid
UGT74H5		GT-Predict extensions	0	5281166	Jasmonic acid
UGT88C4		GT-Predict extensions	0	5281166	Jasmonic acid
UGT74H6		GT-Predict extensions	0	5281166	Jasmonic acid
UGT75E3		GT-Predict extensions	0	5281166	Jasmonic acid
OleD		GT-Predict extensions	0	5375199	Dormin
OleD		GT-Predict extensions	0	12304694	(+/-)-Jasmonic acid
Nt_UGT1	-0.000422277	pTMH	0	69867	Indole-3-carboxylic acid
Pt_UGT1	-0.000923119	pTMH	0	69867	Indole-3-carboxylic acid
At_72B1	-0.003417066	pTMH	0	69867	Indole-3-carboxylic acid
At_72E2	-0.00261537	pTMH	0	69867	Indole-3-carboxylic acid
Mt_71G1	0.00063571	pTMH	0	69867	Indole-3-carboxylic acid
Mt_78G1	0.00051574	pTMH	0	69867	Indole-3-carboxylic acid
UGT74B1	0.11	""	1	27582	2,3,4-Trichlorophenol
UGT74B1	0.0316666666666667	""	1	11334	2,3-Dichlorophenol
UGT74B1	0.101666666666667	""	1	7271	2,4,5-Trichlorophenol
UGT74B1	0.241666666666667	""	1	6914	2,4,6-Trichlorophenol
UGT74B1	0.0366666666666667	""	1	8449	2,4-Dichlorophenol
UGT74B1	0.07	""	1	66	2,5-Dichlorophenol
At_73C4		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_78D1		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_76E5		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_73C7		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_73B2		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_76C4		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_72E1		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_89C1		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_85A5		GT-Predict	0.5	3469	2,5-Dihydroxybenzoic acid
At_85A4		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_71B8		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_76E4		GT-Predict	0.5	3469	2,5-Dihydroxybenzoic acid
At_76E2		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_76E1		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_71C5		GT-Predict	0.5	3469	2,5-Dihydroxybenzoic acid
At_72B3		GT-Predict	0.5	3469	2,5-Dihydroxybenzoic acid
At_76E11		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_75D1		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_72C1		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_72B1		GT-Predict	1	3469	2,5-Dihydroxybenzoic acid
At_84B2		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_71C1		GT-Predict	0.5	3469	2,5-Dihydroxybenzoic acid
At_71C2		GT-Predict	0.5	3469	2,5-Dihydroxybenzoic acid
At_89B1		GT-Predict	1	3469	2,5-Dihydroxybenzoic acid
At_74F1		GT-Predict	0.5	3469	2,5-Dihydroxybenzoic acid
At_72E2		GT-Predict	0.5	3469	2,5-Dihydroxybenzoic acid
At_72E3		GT-Predict	0.5	3469	2,5-Dihydroxybenzoic acid
At_71C3		GT-Predict	1	3469	2,5-Dihydroxybenzoic acid
At_71C4		GT-Predict	1	3469	2,5-Dihydroxybenzoic acid
At_71B1		GT-Predict	1	3469	2,5-Dihydroxybenzoic acid
At_73B3		GT-Predict	1	3469	2,5-Dihydroxybenzoic acid
At_78D2		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_71B6		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_73B1		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_71B5		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_88A1		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_73C3		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_73B5		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_76E12		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
VVGT1		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_72D1		GT-Predict	1	3469	2,5-Dihydroxybenzoic acid
At_74B1		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_73C5		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_73C6		GT-Predict	0	3469	2,5-Dihydroxybenzoic acid
At_73C1		GT-Predict	0.5	3469	2,5-Dihydroxybenzoic acid
At_73B4		GT-Predict	1	3469	2,5-Dihydroxybenzoic acid
