smiles	fromCID	replacement
COc1cccc(OC)c1F	7041	F
COc1cccc(OC)c1Cl	7041	Cl
COc1cccc(OC)c1OC	7041	OMe
COc1cccc(OC)c1OC(C)=O	7041	OAc
Clc1ccc(Cl)c(Cl)c1	7271	H
Fc1cc(Cl)c(Cl)cc1Cl	7271	F
Clc1cc(Cl)c(Cl)cc1Cl	7271	Cl
COc1cc(Cl)c(Cl)cc1Cl	7271	OMe
CC(=O)Oc1cc(Cl)c(Cl)cc1Cl	7271	OAc
O=C(OCc1ccccc1)c1ccccc1	8363	H
O=C(OCc1ccccc1)c1ccccc1F	8363	F
O=C(OCc1ccccc1)c1ccccc1Cl	8363	Cl
COc1ccccc1C(=O)OCc1ccccc1	8363	OMe
CC(=O)Oc1ccccc1C(=O)OCc1ccccc1	8363	OAc
Clc1cccc(Cl)c1	8449	H
Fc1ccc(Cl)cc1Cl	8449	F
Clc1ccc(Cl)c(Cl)c1	8449	Cl
COc1ccc(Cl)cc1Cl	8449	OMe
CC(=O)Oc1ccc(Cl)cc1Cl	8449	OAc
c1ccc(C2CCc3ccccc3O2)cc1	9064	H
Fc1ccc2c(c1)OC(c1ccccc1)CC2	9064	F
Clc1cccc(C2CCc3ccccc3O2)c1	9064	Cl
COc1ccc2c(c1)OC(c1ccccc1)CC2	9064	OMe
CC(=O)Oc1ccc(C2CCc3ccccc3O2)cc1	9064	OAc
COC(=O)C1(C)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCCC(C)(C)C5CCC43C)C2C1	10114	H
COC(=O)C1(C)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(F)C(C)(C)C5CCC43C)C2C1	10114	F
COC(=O)C1(C)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(Cl)C(C)(C)C5CCC43C)C2C1	10114	Cl
COC(=O)C1(C)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC)C(C)(C)C5CCC43C)C2C1	10114	OMe
COC(=O)C1(C)CCC2(C)CCC3(C)C(=CC(=O)C4C5(C)CCC(OC(C)=O)C(C)(C)C5CCC43C)C2C1	10114	OAc
COC(=O)c1cc(OC)cc(OC)c1	10742	H
COC(=O)c1cc(OC)c(F)c(OC)c1	10742	F
COC(=O)c1cc(OC)c(Cl)c(OC)c1	10742	Cl
COC(=O)c1cc(OC)c(OC)c(OC)c1	10742	OMe
COC(=O)c1cc(OC)c(OC(C)=O)c(OC)c1	10742	OAc
Clc1ccccc1Cl	11334	H
Fc1cccc(Cl)c1Cl	11334	F
Clc1cccc(Cl)c1Cl	11334	Cl
COc1cccc(Cl)c1Cl	11334	OMe
CC(=O)Oc1cccc(Cl)c1Cl	11334	OAc
CC1=CCC(C(C)C)CC1	17100	H
CC1=CCC(C(C)(C)F)CC1	17100	F
CC1=CCC(C(C)(C)Cl)CC1	17100	Cl
COC(C)(C)C1CC=C(C)CC1	17100	OMe
CC(=O)OC(C)(C)C1CC=C(C)CC1	17100	OAc
CC1=CC(=O)C(C)O1	19309	H
CC1=C(F)C(=O)C(C)O1	19309	F
CC1=C(Cl)C(=O)C(C)O1	19309	Cl
COC1=C(C)OC(C)C1=O	19309	OMe
CC(=O)OC1=C(C)OC(C)C1=O	19309	OAc
Clc1cccc(Cl)c1Cl	27582	H
Fc1ccc(Cl)c(Cl)c1Cl	27582	F
Clc1ccc(Cl)c(Cl)c1Cl	27582	Cl
COc1ccc(Cl)c(Cl)c1Cl	27582	OMe
CC(=O)Oc1ccc(Cl)c(Cl)c1Cl	27582	OAc
COc1cccc(C2Oc3cc(C4CC(=O)c5ccccc5O4)ccc3OC2C)c1	31553	H
COc1cccc(C2Oc3cc(C4CC(=O)c5c(F)cccc5O4)ccc3OC2C)c1	31553	F
COc1cc(C2Oc3cc(C4CC(=O)c5ccccc5O4)ccc3OC2C)ccc1Cl	31553	Cl
COc1cccc(C2Oc3cc(C4CC(=O)c5c(OC)cccc5O4)ccc3OC2C)c1	31553	OMe
COc1cccc(C2Oc3cc(C4CC(=O)c5c(OC(C)=O)cccc5O4)ccc3OC2C)c1	31553	OAc
CCC1OC(C)=CC1=O	33931	H
CCC1OC(C)=C(F)C1=O	33931	F
CCC1OC(C)=C(Cl)C1=O	33931	Cl
CCC1OC(C)=C(OC)C1=O	33931	OMe
CCC1OC(C)=C(OC(C)=O)C1=O	33931	OAc
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CCCC(=O)O3)C21	53232	H
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(F)CC(=O)O3)C21	53232	F
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(Cl)CC(=O)O3)C21	53232	Cl
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(OC)CC(=O)O3)C21	53232	OMe
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(OC(C)=O)CC(=O)O3)C21	53232	OAc
O=c1ccc2cc3ccoc3cc2o1	65090	H
O=c1ccc2cc3ccoc3c(F)c2o1	65090	F
O=c1ccc2cc3ccoc3c(Cl)c2o1	65090	Cl
COc1c2occc2cc2ccc(=O)oc12	65090	OMe
CC(=O)Oc1c2occc2cc2ccc(=O)oc12	65090	OAc
O=C1CC(c2ccccc2)Oc2ccccc21	68071	H
O=C1CC(c2ccccc2)Oc2cccc(F)c21	68071	F
O=C1CC(c2ccccc2)Oc2cccc(Cl)c21	68071	Cl
COc1ccc2c(c1)OC(c1ccccc1)CC2=O	68071	OMe
CC(=O)Oc1cccc2c1C(=O)CC(c1ccccc1)O2	68071	OAc
CC(=O)c1ccccc1	68073	H
CC(=O)c1ccccc1F	68073	F
CC(=O)c1ccc(Cl)cc1	68073	Cl
COc1ccc(C(C)=O)cc1	68073	OMe
CC(=O)Oc1ccc(C(C)=O)cc1	68073	OAc
O=Cc1ccccc1	68099	H
O=Cc1ccccc1F	68099	F
O=Cc1ccccc1Cl	68099	Cl
COc1ccc(C=O)cc1	68099	OMe
CC(=O)Oc1ccc(C=O)cc1	68099	OAc
O=C(c1ccccc1)c1ccccc1	68213	H
O=C(c1ccccc1)c1ccccc1F	68213	F
O=C(c1ccccc1)c1ccccc1Cl	68213	Cl
COc1ccc(C(=O)c2ccccc2)cc1	68213	OMe
CC(=O)Oc1ccc(C(=O)c2ccccc2)cc1	68213	OAc
[Cl-].c1ccc(-c2ccc3ccccc3[o+]2)cc1	68247	H
Fc1cc2ccccc2[o+]c1-c1ccccc1.[Cl-]	68247	F
Clc1cc2ccccc2[o+]c1-c1ccccc1.[Cl-]	68247	Cl
COc1ccc(-c2ccc3ccccc3[o+]2)cc1.[Cl-]	68247	OMe
CC(=O)Oc1ccc2ccc(-c3ccccc3)[o+]c2c1.[Cl-]	68247	OAc
c1ccc2c(c1)OCO2	68289	H
Fc1ccc2c(c1)OCO2	68289	F
Clc1ccc2c(c1)OCO2	68289	Cl
COc1ccc2c(c1)OCO2	68289	OMe
CC(=O)Oc1ccc2c(c1)OCO2	68289	OAc
O=C(c1ccccc1)c1ccccc1	77093	H
O=C(c1ccccc1)c1ccccc1F	77093	F
O=C(c1ccccc1)c1ccc(Cl)cc1	77093	Cl
COc1ccc(C(=O)c2ccccc2)cc1	77093	OMe
CC(=O)Oc1ccccc1C(=O)c1ccccc1	77093	OAc
O=C(OC1Cc2ccccc2OC1c1ccccc1)c1ccccc1	107905	H
O=C(OC1Cc2ccccc2OC1c1ccccc1)c1cccc(F)c1	107905	F
O=C(OC1Cc2ccccc2OC1c1cccc(Cl)c1)c1ccccc1	107905	Cl
COc1ccc2c(c1)OC(c1ccccc1)C(OC(=O)c1ccccc1)C2	107905	OMe
CC(=O)Oc1cccc(C(=O)OC2Cc3ccccc3OC2c2ccccc2)c1	107905	OAc
c1ccc(-c2ccc3ccccc3[o+]2)cc1	128861	H
Fc1ccc(-c2ccc3ccccc3[o+]2)cc1	128861	F
Clc1cc2ccccc2[o+]c1-c1ccccc1	128861	Cl
COc1cccc(-c2ccc3ccccc3[o+]2)c1	128861	OMe
CC(=O)Oc1cccc(-c2ccc3ccccc3[o+]2)c1	128861	OAc
CC(C)c1ccc2c(c1)CCC1C3=C(CCC21C)C(=O)OC3	173273	H
CC(C)c1ccc2c(c1F)CCC1C3=C(CCC21C)C(=O)OC3	173273	F
CC(C)c1ccc2c(c1Cl)CCC1C3=C(CCC21C)C(=O)OC3	173273	Cl
COc1c(C(C)C)ccc2c1CCC1C3=C(CCC21C)C(=O)OC3	173273	OMe
CC(=O)Oc1c(C(C)C)ccc2c1CCC1C3=C(CCC21C)C(=O)OC3	173273	OAc
CCC(=O)OC	439194	H
COC(=O)CCF	439194	F
COC(=O)C(C)Cl	439194	Cl
COCCC(=O)OC	439194	OMe
COC(=O)C(C)OC(C)=O	439194	OAc
O=C1CC(c2ccccc2)Oc2ccccc21	439533	H
O=C1CC(c2ccccc2)Oc2cc(F)ccc21	439533	F
O=C1CC(c2ccccc2)Oc2cc(Cl)ccc21	439533	Cl
COc1ccc(C2CC(=O)c3ccccc3O2)cc1	439533	OMe
CC(=O)Oc1cccc(C2CC(=O)c3ccccc3O2)c1	439533	OAc
C(=Cc1ccccc1)c1ccccc1	445154	H
Fc1cccc(C=Cc2ccccc2)c1	445154	F
Clc1cccc(C=Cc2ccccc2)c1	445154	Cl
COc1cccc(C=Cc2ccccc2)c1	445154	OMe
CC(=O)Oc1cccc(C=Cc2ccccc2)c1	445154	OAc
COC(=O)C=Cc1cccc(OC)c1	445858	H
COC(=O)C=Cc1ccc(F)c(OC)c1	445858	F
COC(=O)C=Cc1ccc(Cl)c(OC)c1	445858	Cl
COC(=O)C=Cc1ccc(OC)c(OC)c1	445858	OMe
COC(=O)C=Cc1ccc(OC(C)=O)c(OC)c1	445858	OAc
COC(=O)C=Cc1ccccc1	637540	H
COC(=O)C=Cc1ccccc1F	637540	F
COC(=O)C=Cc1ccccc1Cl	637540	Cl
COC(=O)C=Cc1ccccc1OC	637540	OMe
COC(=O)C=Cc1ccccc1OC(C)=O	637540	OAc
COC(=O)C=Cc1ccccc1	637541	H
COC(=O)C=Cc1cccc(F)c1	637541	F
COC(=O)C=Cc1cccc(Cl)c1	637541	Cl
COC(=O)C=Cc1cccc(OC)c1	637541	OMe
COC(=O)C=Cc1cccc(OC(C)=O)c1	637541	OAc
COC(=O)C=Cc1ccccc1	637542	H
COC(=O)C=Cc1ccc(F)cc1	637542	F
COC(=O)C=Cc1ccc(Cl)cc1	637542	Cl
COC(=O)C=Cc1ccc(OC)cc1	637542	OMe
COC(=O)C=Cc1ccc(OC(C)=O)cc1	637542	OAc
CC=C(C)CCC=C(C)C	637566	H
CC(C)=CCCC(C)=CCF	637566	F
