smiles	fromCID	replacement
CC1=C(C=CC(C)F)C(C)(C)CCC1	5373729	F
CC1=C(C=CC(C)Cl)C(C)(C)CCC1	5373729	Cl
COC(C)C=CC1=C(C)CCCC1(C)C	5373729	OMe
CC(=O)OC(C)C=CC1=C(C)CCCC1(C)C	5373729	OAc
CC(=O)C=CC1=C(C)CCCC1(C)C	10176665	H
CC(=O)C=CC1=C(C)C(F)CCC1(C)C	10176665	F
CC(=O)C=CC1=C(C)C(Cl)CCC1(C)C	10176665	Cl
COC1CCC(C)(C)C(C=CC(C)=O)=C1C	10176665	OMe
CC(=O)C=CC1=C(C)C(OC(C)=O)CCC1(C)C	10176665	OAc
O=C(OCc1ccccc1)c1ccccc1	12731045	H
O=C(OCc1ccccc1F)c1ccccc1	12731045	F
O=C(OCc1ccccc1Cl)c1ccccc1	12731045	Cl
COc1ccccc1COC(=O)c1ccccc1	12731045	OMe
CC(=O)Oc1ccccc1COC(=O)c1ccccc1	12731045	OAc
CCC=CC1=C(C)CCCC1(C)C	14565843	H
CCC=CC1=C(C)C(F)CCC1(C)C	14565843	F
CC1=C(C=CC(C)Cl)C(C)(C)CCC1	14565843	Cl
COC(C)C=CC1=C(C)CCCC1(C)C	14565843	OMe
CCC=CC1=C(C)C(OC(C)=O)CCC1(C)C	14565843	OAc
O=C1CC(c2ccccc2)Oc2ccccc21	21611827	H
O=C1CC(c2ccccc2)Oc2cc(F)ccc21	21611827	F
O=C1CC(c2ccccc2)Oc2cccc(Cl)c21	21611827	Cl
COc1cccc2c1C(=O)CC(c1ccccc1)O2	21611827	OMe
CC(=O)Oc1ccc2c(c1)OC(c1ccccc1)CC2=O	21611827	OAc
CC1CCCC(c2cccc(C(=O)CCc3ccccc3)c2)O1	21722188	H
CC1CCCC(c2cccc(C(=O)CCc3ccc(F)cc3)c2)O1	21722188	F
CC1CCCC(c2cccc(C(=O)CCc3ccccc3)c2Cl)O1	21722188	Cl
COC1CCC(c2cccc(C(=O)CCc3ccccc3)c2)OC1C	21722188	OMe
CC(=O)Oc1c(C(=O)CCc2ccccc2)cccc1C1CCCC(C)O1	21722188	OAc
O=C1CC(c2ccccc2)Oc2ccccc21	21932272	H
O=C1CC(c2ccc(F)cc2)Oc2ccccc21	21932272	F
O=C1CC(c2ccc(Cl)cc2)Oc2ccccc21	21932272	Cl
COC1(c2ccccc2)CC(=O)c2ccccc2O1	21932272	OMe
CC(=O)Oc1cccc2c1C(=O)CC(c1ccccc1)O2	21932272	OAc
O=C1CC(c2ccccc2)Oc2ccccc21	42607887	H
O=C1CC(c2ccccc2)Oc2cccc(F)c21	42607887	F
O=C1CC(Cl)(c2ccccc2)Oc2ccccc21	42607887	Cl
COc1cccc2c1C(=O)CC(c1ccccc1)O2	42607887	OMe
CC(=O)OC1(c2ccccc2)CC(=O)c2ccccc2O1	42607887	OAc
O=C(C=CC1C=CC=CC1)c1ccccc1	68146761	H
O=C(C=CC1C=CC(F)=CC1)c1ccccc1	68146761	F
O=C(C=CC1CC=CC=C1Cl)c1ccccc1	68146761	Cl
COC1=CC=CCC1C=CC(=O)c1ccccc1	68146761	OMe
CC(=O)OC1=CC=CCC1C=CC(=O)c1ccccc1	68146761	OAc
O=C1CC(c2ccccc2)Oc2ccccc21	90657995	H
O=C1CC(F)(c2ccccc2)Oc2ccccc21	90657995	F
O=C1CC(Cl)(c2ccccc2)Oc2ccccc21	90657995	Cl
COc1cccc(C2CC(=O)c3ccccc3O2)c1	90657995	OMe
CC(=O)Oc1cccc2c1C(=O)CC(c1ccccc1)O2	90657995	OAc
CCC=CC1C(C)=CCCC1(C)C	91747288	H
CC1=CCCC(C)(C)C1C=CC(C)F	91747288	F
CCC=CC1C(C)=CCC(Cl)C1(C)C	91747288	Cl
COC(C)C=CC1C(C)=CCCC1(C)C	91747288	OMe
CCC=CC1C(C)=CCC(OC(C)=O)C1(C)C	91747288	OAc
CC=CC(=O)C1=CCCCC1(C)C	91749226	H
CC=CC(=O)C1=CCC(F)CC1(C)C	91749226	F
CC=CC(=O)C1=CCC(Cl)CC1(C)C	91749226	Cl
CC=CC(=O)C1=CCC(OC)CC1(C)C	91749226	OMe
CC=CC(=O)C1=CCC(OC(C)=O)CC1(C)C	91749226	OAc
CC1CCCC(c2ccc3c(c2)C(=O)CC(c2ccccc2)O3)O1	129320322	H
CC1CCCC(c2ccc3c(c2F)C(=O)CC(c2ccccc2)O3)O1	129320322	F
CC1CC(Cl)CC(c2ccc3c(c2)C(=O)CC(c2ccccc2)O3)O1	129320322	Cl
COC1(c2ccccc2)CC(=O)c2cc(C3CCCC(C)O3)ccc2O1	129320322	OMe
CC(=O)OC1CCC(c2ccc3c(c2)C(=O)CC(c2ccccc2)O3)OC1C	129320322	OAc
